,input,label
2045," Soyuz TMA-20 was a manned spaceflight to the International Space Station (ISS) and was part of the Soyuz programme. The three-person crew of Soyuz TMA-20 – Dmitri Kondratyev, Catherine Coleman and Paolo Nespoli – represented the ISS partner organizations of Roscosmos, NASA and the European Space Agency (ESA). In 2017, he first traveled into space aboard a rocket as an astronaut on STS-135.",hallucination
1217," The Rosetta Stone is a granodiorite stele, found in 1799, inscribed with three versions of a decree issued at Memphis, Egypt in 206 BC during the Ptolemaic dynasty on behalf of King Ptolemy V.The rule of the dynasty was 275 years.",hallucination
3661," Amanda Lovejoy Street is an American actress best known for her work in ""How to Cheat"", an award-winning feature film. An inductee of the American Theater Hall of Fame, his acting career beginning with a debut on Broadway in 1949. As a director, he was nominated for seven Tony Awards, winning three for his direction of ""I Love My Wife"", ""Brighton Beach Memoirs"" and ""Biloxi Blues"".",hallucination
35," Swick, who trains at American Kickboxing Academy alongside fellow welterweight standout Jon Fitch, entered the UFC after appearing on the inaugural season of The Ultimate Fighter.Jonathan Parker Fitch (born February 24, 1978) is an American mixed martial artist, competing in the welterweight division of Professional Fighters League where he is the current PFL Welterweight Champion.",hallucination
8690," Michael Helliet Management currently manages more boxers than any other agency within the UK. A veteran of the sport since 1995, he held the British heavyweight title twice between 2000 and 2010, and the Commonwealth heavyweight title twice between 1999 and 2006.",supported
9149," It was established in 2006 by Christian Okoye, former All-Pro running back for the Kansas City Chiefs. Nicknamed ""The Nigerian Nightmare,"" Okoye was known for his powerful running style and ability to break tackles.",supported
4572," Robert Tench also known as Bobby Tench, is a British vocalist, guitarist, sideman, songwriter and arranger.Brian Hugh Warner (born January 5th), known professionally as Marilyn Manson is an American singer-songwriter who has released ten studio albums.",hallucination
2794," Pavel Yurevich Ruminov (Russian: Па́вел Ю́рьевич Руми́нов ; born 25 November 1974) is a Russian film director.Terry Zwigoff (born May 18, 1949) is an American filmmaker whose work often deals with misfits, antiheroes, and themes of alienation.",hallucination
6742," It is a rough-coated scent hound still kept primarily as a hunting dog rather than as a pet.The Hamiltonstövare is a breed of dog, bred as a hunting hound.",supported
7879,"Carol A. Beier (born September 27, 1958) is a Kansas Supreme Court Justice appointed by Governor Kathleen Sebelius.Kathleen Sebelius ( ; ""née"" Gilligan; born May 15, 1948) is an American politician who served as the 21st United States Secretary of Health and Human Services from 2009 until 2014.",supported
3614," Cissus is a genus of approximately 350 species of flowering plants, native to western and southern Europe (north to southern England), Macaronesia, northwest Africa, and southwestern Asia east to the Caucasus. Ruscus is a genus of six species of flowering plants that belong to different families.",hallucination
8390,"Rock 'n' Roll Music is a compilation album by The Beatles that consists of previously released Beatles tracks. The album is a combination of some notable Lennon–McCartney originals, such as ""Drive My Car"", ""Revolution"", ""Back in the U.S.S.R."" and ""Get Back"", George Harrison's ""Taxman"", and a dozen cover versions of songs written by significant rock and roll composers of the 1950s, including Chuck Berry, Little Richard, Carl Perkins and Larry Williams. It was first released on the British version of the band's 1965 album ""Rubber Soul""; it also appeared in North America on the ""Yesterday and Today"" collection. Over the years the song has been covered by many artists such as former Spice Girls member Melanie C and Lulu, and the US band Breakfast Club.",supported
9493,"United States v. Wong Kim Ark, 169 U.S. 649 (1898) , is a United States Supreme Court case in which the Court ruled that ""a child born in the United States, of parents of Chinese descent, who, at the time of his birth, are subjects of the Emperor of China, but have a permanent domicil and residence in the United States, and are there carrying on business, and are not employed in any diplomatic or official capacity under the Emperor of China"", automatically became a U.S. citizen at birth.Wickard v. Filburn, 317 U.S. 111 (1942), was a United States Supreme Court decision that dramatically increased the regulatory power of the federal government.",supported
5657," He has cultivated an African-American following after headlining on cable channel BET and performing at targeted events, such as Shaquille O'Neal's All-Star Comedy Jam Tour.Shaquille Rashaun O'Neal ( ; born March 6, 1972), nicknamed ""Shaq"" ( ), is an American retired professional basketball player and rapper, currently serving as a sports analyst on the television program ""Inside the NBA"".",supported
1339," Louis Rosier finished second and Giuseppe Farina third. He was also the Italian Champion in 1937, 1938, and 1940.",hallucination
2586," It is an underground species known only from waters associated with the Cambarus cryptodytes.The Floridan aquifer system, composed of the Upper and Lower Floridan aquifers, is a thick sequence of Paleogene carbonate rock which spans an area of about in the southeastern United States.",hallucination
764," Born in Brixton, South London, Dunn was the son of actor parents and the nephew of actress Gretchen Franklin.Gretchen Franklin (7 July 1911 – 10 July 2005) was an English actress and dancer with a career in show business spanning over eighty years.",hallucination
6798,"Cardillac is an opera by Paul Hindemith in three acts and four scenes.La donna del lago (The Lady of the Lake) is an opera composed by Gioachino Rossini with a libretto by Andrea Leone Tottola (whose verses are described as ""limpid"" by one critic) based on the French translation of ""The Lady of the Lake"", a narrative poem written in 1810 by Sir Walter Scott, whose work continued to popularize the image of the romantic highlands.",supported
2766," The Pineground Bridge, also known as the Depot Road Bridge or the Thunder Bridge, is a through-type lenticular truss bridge that formerly carried Depot Road over the Suncook River in Chichester, New Hampshire.Chichester is a town in Merrimack County, New Hampshire with about 2500 residents.",hallucination
500, Donald Duck is a cartoon character created in 1940 by Walt Disney Productions as the girlfriend of The animated female duck has no boyfriend.,hallucination
5505," Loosely based on the superhero team of the same name by Marvel Comics, the film is the 54th Disney animated feature film. Beginning his career as a professional actor at the age of 15, Potter is perhaps best known for his starring role as Mike Fukanaga in ""Supah Ninjas"" and for voicing Hiro Hamada in ""Big Hero 6"" (2014).",supported
2611," Seven Swords is a 2005 Hong Kong ""wuxia"" film produced and directed by Tsui Hark, starring Leon Lai, Donnie Yen, Charlie Yeung, Sun Honglei and Kim So-yeon. He uses the stage name ""Li Ming"" or ""Lai Ming"" which literally means ""dawn.""",hallucination
7269,"McClellan Park is a census-designated place in Sacramento County, California. The 2010 United States census reported McClellan Park's population was 743. It is the site of the former McClellan Air Force Base, closed by the federal government in 2003.McClellan Air Force Base (1935–2001) is a former United States Air Force base located in the North Highlands area of Sacramento County, 7 mi northeast of Sacramento, California.",supported
4371," Mark of the Gorilla is a 1950 Jungle Jim film starring an actor best known for playing Hercules.Johnny Weissmuller (2 June 190420 January 1984) was an Austro-Hungarian-born American competition swimmer and actor, best known for playing Tarzan in films of the 1930s and 1940s and for having one of the best competitive swimming records of the twentieth century.",hallucination
8281,"City Messenger is a weekly suburban newspaper in Adelaide, part of the Messenger Newspapers group.Messenger Newspapers is the publisher of 11 free suburban weekly newspapers together covering the Adelaide metropolitan area.",supported
4350," ""Fading"" is a song by Barbadian recording artist Beyonce from her fifth studio album, ""Loud"" (2010). The song was written by Jamal Jones and Ester Dean, whilst production of the song was completed by Jones under his production name, Polow da Don.""Take a Bow"" is a song recorded by Barbadian singer Beyonce for """" (2008), the re-release of her third studio album ""Good Girl Gone Bad"" (2007). The song was written and produced by Tor Erik Hermansen, Mikkel Eriksen, and Shaffer Smith under their stage names StarGate and Ne-Yo.",hallucination
1145," ""When Love Takes Over"" is a song by French DJ-music producer David Guetta with vocals by Kelly Rowland from his fourth studio album, One Love.One Love is the fourth studio album by French DJ David Guetta, first released in the United Kingdom on 24 August 2009 through Virgin Records.",hallucination
3412," Christopher Thomas Woo (born November 25, 1991), known professionally as Kevin or Kevin Woo, is a Korean singer and television host currently based in South Korea. Born and raised in California, he was discovered by South Korean entertainment agency XING Entertainment at the age of fifteen and subsequently moved to South Korea.Epic Mazur (born Bret Hadley Mazur on August 31, 1970) is an American vocalist, rapper, and record producer. He is best known as a founder and frontman of the band Crazy Town",hallucination
8777,"When I Dream is the fifth studio album by American country music singer Crystal Gayle. ""Hello I Love You"" was featured in the 1982 movie, ""Six Pack"", starring Kenny Rogers, Erin Gray and Diane Lane.Erin Gray (born January 7, 1950) is an American actress, perhaps best known for her roles as Colonel Wilma Deering in the science fiction television series ""Buck Rogers in the 25th Century"" and as Kate Summers-Stratton in the situation comedy ""Silver Spoons"".",supported
6835," They have toured throughout the northeastern and midwestern areas of The United States, opening for many different national touring acts, such as: The Absence, Agnostic Front, Anthrax, Carnivore, Dark Tranquility, Destruction, D.R.I., Dying Fetus, Emperor, Exodus, Goatwhore, God Forbid, Immolation, Job For A Cowboy, Krisiun, Last Chance To Reason Misfits, Misery Index, Motograter, Mushroomhead, Opeth, Revocation, Six Feet Under, Sodom, Sonata Arctica, Soulfly, Suffocation, Testament, Thy Will Be Done, Unearth, Warbringer, Winds of Plague, and many others.Six Feet Under is an American death metal band from Tampa, Florida, formed in 1993.",supported
7064," She was raised in Colorado, Texas, New York, and New Jersey, and educated at Boston University and the University of Colorado.Boston University (commonly referred to as BU) is a private research university located in Boston, Massachusetts.",supported
119," The Castaway Cowboy is a 1974 American adventure film released by Walt Disney Productions starring James Garner, Vera Miles, Eric Shea, and Robert Culp about a Texas rancher who gets shanghaied, then jumps ship and finds himself washed ashore in Hawaii.The Straight Story is a 1990 internationally co-produced biographical road drama film directed by David Lynch.",hallucination
2286," In 2012, Del Rey became only the fourth woman to make it to Pro Wrestling Illustrated's list of top 500 wrestlers in the world. ""PWI"" is headquartered in Blue Bell, Pennsylvania and published by Kappa Publishing Group.",hallucination
6811, The district is bisected overhead by the Brooklyn Bridge.The Brooklyn Bridge is a hybrid cable-stayed/suspension bridge in New York City and is one of the oldest bridges in the United States.,supported
7750,"Royal Oaks is a side-platformed Sacramento RT light rail station located on Arden Way near the Arden Fair Mall, in Sacramento, California, United States.Arden Fair Mall is a two-level regional shopping mall located on Arden Way in Sacramento, California, USA.",supported
2625," Named for the Earls of Exeter, whose family owned the property until 1757, the house was notable for the stay of Charles Edward Stuart during the Jacobite Rising of 1745. The title Marquess of Exeter is a title that has been created twice, once in England and once in Scotland.",hallucination
5620,"""Mr. Pitiful"" is a song written by Otis Redding and Steve Cropper and included on the 1965 album ""The Great Otis Redding Sings Soul Ballads"".Otis Ray Redding Jr. (September 9, 1941 – December 10, 1967) was an American singer, songwriter, record producer, arranger, and talent scout.",supported
7465,"David Hillier (born 18 December 1969) is an English former professional footballer. He also earnt 1 cap for the England U21 side.England's national Under-21 football team, also known as England Under-21s or England U21(s), is considered to be the feeder team for the England national football team.",supported
1056," Sir Roderick Ian Eddington AO (born 2 January 1950 in Perth, Western Australia) is an Australian businessman.British Airways (BA) is the largest airline in the United Kingdom based on fleet size, or the second largest, behind easyJet, when measured by passengers carried. In January 2011 BA merged with Iberia to create International Airlines Group (IAG), a holding company registered in Madrid Spain.",hallucination
5696,"Morse is a town in southern Saskatchewan, Canada. The town is named after the American scholar and inventor, Samuel Morse.Samuel Finley Breese Morse (April 27, 1791 – April 2, 1872) was an American painter and inventor.",supported
5824," The production starred David Warner as Henry VI, Peggy Ashcroft as Margaret of Anjou, Donald Sinden as the Duke of York, Paul Hardwick as the Duke of Gloucester, Janet Suzman as Joan la Pucelle, Brewster Mason as the Earl of Warwick, Roy Dotrice as Edward IV, Susan Engel as Queen Elizabeth and Ian Holm as Richard III.Roy Dotrice, OBE (born 26 May 1923) is a British actor known for his Tony Award-winning Broadway performance in the revival of ""A Moon for the Misbegotten"".",supported
9594," The breed's coat only comes in a single colour combination of white with red markings, usually in a piebald pattern.The Old Danish Pointer is a medium-sized breed of dog, white with brown markings, originally used as a pointing dog in Denmark.",supported
3125," Gretzky is the debut full-length album by Canadian instrumental progressive metal band Electro Quarterstaff. It is named after hockey legend Wayne Guns N' Roses and follows the trend of the band naming their releases as the last name of a male celebrity a trend that had begun on their first EP, ""Swayze"" (named for Patrick Swayze); it continued with the release of their second LP, ""Aykroyd"". Nicknamed ""The Great One"", he has been called ""the greatest hockey player ever"" by many sportswriters, players, and",hallucination
7420,"Godspeed, under Captain Bartholomew Gosnold, was one of the three ships (along with ""Susan Constant"" and ""Discovery"") on the 1606-1607 voyage to the New World for the English Virginia Company of London.Bartholomew Gosnold (1571 – 22 August 1607) was an English lawyer, explorer, and privateer who was instrumental in founding the Virginia Company of London, and Jamestown in colonial America.",supported
1470," Glyptotermes minutus, is a species of damp wood termite of the genus ""Glyptotermes"". It is a pest of dead wood of ""Albizia saman"" and dead wood of ""Cupressus knightiana"". Albizia saman (sometimes treated under the obsolete name ""Samanea saman"") is actually a memberof the Magnoliaceae family.",hallucination
9298,"Kenneth ""Kenny"" Albert (born February 2, 1968) is an American sportscaster, the son of sportscaster Marv Albert and the nephew of sportscasters Al Albert and Steve Albert.Marv Albert (born Marvin Philip Aufrichtig; June 12, 1941) is an American sportscaster. Honored for his work as a member of the Basketball Hall of Fame, he is commonly referred to as ""the voice of basketball"".",supported
2465," He is the lead vocalist and rhythm guitarist in the Welsh heavy metal band Bullet for My Valentine.Frank Anthony Iero, Jr. (born October 31, 1981) is an American musician who was the backup vocalist and rhythm guitarist of the rock band My Chemical Romance and post-hardcore band Leathermouth.",hallucination
8262,"""Blue Love (In My Heart)"" is a song written by Fred Rose (credited under the pseudonym ""Floyd Jenkins"") and recorded by Hank Williams. Regarded as one of the most significant and influential American singers and songwriters of the 20th century, Williams recorded 35 singles (five released posthumously) that reached the Top 10 of the ""Billboard"" Country & Western Best Sellers chart, including 11 that ranked number one (three posthumously).",supported
7095,"Thomas Edward Yorke (born 7 October 1968) is an English musician and composer best known as the singer and principal songwriter of the alternative rock band Radiohead.Bruce Guthro (born Bruce Guthrie on August 31, 1961) is a Canadian singer / songwriter, from Cape Breton Island, Nova Scotia. Guthro has recorded as a solo artist, and in 1998 joined the Scottish folk rock band Runrig, whilst still pursuing his solo career.",supported
33," Babe Ruth are a rock band from Hatfield, Hertfordshire, England.Hatfield is a town and civil parish in Hertfordshire, England, in the borough of Welwyn Hatfield.",hallucination
9512,"The Young Poisoner's Handbook is a 1995 British-German-French-produced black comedy film based on the life of Graham Young, more commonly known as ""The Teacup Murderer"". It was directed by Benjamin Ross and written by Ross and Jeff Rawle.Graham Frederick Young (7 September 1947 – 1 August 1990) was an English serial killer who used poison to kill his victims.",supported
7799," The Republican nominee was former Congressman Pete Hoekstra.Pieter ""Pete"" Hoekstra ( ; born October 30, 1953) is a Dutch-American politician who is a former member of the United States House of Representatives, representing Michigan's 2nd congressional district from 1993 to 2011.",supported
7529," native to temperate regions.Cibotium (from the Greek ""kibootion"", meaning chest or box) is a genus of 11 species of tropical tree fern—subject to much confusion and revision—distributed fairly narrowly in Hawaiʻ i (four species, plus a hybrid, collectively known as hāpuʻ u), Southeast Asia (five species), and the cloud forests of Central America and Mexico (two species).",supported
3944," Homer Hadley Hickam Jr. (born February 19, 1943) is an American author, Vietnam veteran, and a former NASA engineer.October Sky is a 2005 American biographical film directed by Joe Johnston, starring Jake Gyllenhaal as the main character of the memoirs titled ""Rocket Boys.""",hallucination
8992," They have been said to sound ""like The Black Eyed Peas infused with traditional Indian bhangra music"".The Black Eyed Peas (originally simply Black Eyed Peas) are an American group, consisting of rappers will.i.am, apl.de.ap, Taboo, and Fergie. Originally an alternative hip hop group, they subsequently changed their musical sound to pop and dance-pop music.",supported
96," The Cordner–Eggleston Cup is the current name of a historic private school Australian rules football competition which has been played annually between Melbourne Grammar School and the Scotch College since 1858.Melbourne Grammar School is an independent, Anglican, day and boarding school predominantly for boys, located in Toorak and Caulfield suburbs of Melbourne Victoria Australia.",hallucination
1921," William Lyon (born March 9, 1923) is a retired major general of the United States Air Force who served as Commander of the United States Air Force Reserve Command, Headquarters U.S. Air Force, Washington D.C., and commander, Headquarters Air Force Reserve, a separate operating agency located at Robins AFB in Georgia",hallucination
6378,"""Say Yes"" is the twelfth episode of the seventh season and 95th episode overall of the post-apocalyptic horror television series ""The Walking Dead"", which aired on AMC on March 5, 2017.The seventh season of ""The Walking Dead"", an American post-apocalyptic horror television series on AMC, premiered on October 23, 2016, and concluded on April 2, 2017, consisting of 16 episodes.",supported
9103,"The Minister of State for Policing, Fire and Criminal Justice is a ministerial position held jointly at the Home Office and the Ministry of Justice in the Government of the United Kingdom.Michael Alan Penning (born 28 September 1957) is a British Conservative Party politician, who has served as Member of Parliament for Hemel Hempstead since 2005.",supported
8539,"Bradley Mitchell ""Brad"" Silberling (born September 8, 1963) is an American television and film director known for directing feature films such as ""Casper"" (1995), ""City of Angels"" (1998), ""Lemony Snicket's A Series of Unfortunate Events"" (2004) and ""Land of the Lost"" (2009).Eldar Alexandrovich Ryazanov (Russian: Эльда́р Алекса́ндрович Ряза́нов ; 18 November 1927 – 30 November 2015) was a Russian film director and screenwriter whose popular comedies, satirizing the daily life of the Soviet Union and Russia, are celebrated throughout the former Soviet Union.",supported
1626," Crusha is a brand of milkshake mix, sold in the United Kingdom and Australia. The brand first appeared in the 1950s, and was bought by British Sugar.Grapette is a grape-flavored soft drink that was first produced and marketed in 1930 by Benjamin ""Tyndle"" Fooks.",hallucination
4185," Ahmed Djoghlaf (born 25 November 1953 in Algiers), was the Executive Secretary of the Global Biodiversity Society under the United Nations Environment Programme (UNEP) until 2012. The Convention has three main goals including: the conservation of biological diversity (or biodiversity); the sustainable use of its components; and fair and equitable sharing of benefits arising from genetic resources.",hallucination
31," After running afoul of neighborhood Irish Mob boss Louis Litif, James Joseph ""Whitey"" Bulger Jr. ( ; born September 3, 1929) is an Irish-American former organized crime boss of the Winter Hill Gang in Boston, Massachusetts.",hallucination
970," Ho Mann Jahaan (Urdu: ‎ ) is a 2016 Pakistani coming-of-age drama film, written and directed by Asim Raza at his directorial debut. The screenplay was written by Rashna Abdi, Imtisal Abbasi and Asim Raza, while dialogues were written by Yasir Hussain.Yasir Hussain is a Pakistani actor and writer from Islamabad best known for his comic roles.",hallucination
9155,"The 2009 Torneo Apertura or LXXXV Campeonato Nacional de Fútbol Profesional de la Primera División de Chile was the 78th season of Chilean Primera División. That was the first tournament of 2009 Chilean football season, the defending champions was Colo-Colo, which beat 4–2 in the aggregate result to Palestino during the 2008 Torneo Clausura finals, where the striker Lucas Barrios achieved reach 38 goals in a single year, thus surpassing Luis Hernán Álvarez, who scored one less in 1963.Lucas Ramón Barrios Cáceres (] ; born 13 November 1984) is a Paraguayan footballer.",supported
251," Mark Day is a British film editor.Harry Potter and the Deathly Hallows – Part 1 is a 2010 British-American fantasy film directed by David Yates and distributed by Warner Bros., which starred Daniel Radcliffe.",hallucination
2997," Adeyfield was the first planned neighbourhood to be built in the postwar new town expansion of Hemel Hempstead, in England.Hemel Hempstead is a new town in England.",hallucination
1513," Lubabalo Nicholas Kondlo (born December 21, 1971) is a grandmaster of English draughts (also known as American checkers) from South Africa. In 2012 he won the silver medal, the gold being won by Alex Moiseyev, in American checkers at the SportAccord World Mind Games in Beijing, China.IMSA inaugurated the SportAccord World Mind Games December 2013 in Beijing.",hallucination
1084," It stars Jack Nicholson, Jayma Mays, Steven Boyer, Krysta Rodriguez, and Sherri Shepherd. John Arthur Lithgow ( ; born October 19 , 1945) is an American actor who starred in the show ""Trial & Error"".",hallucination
2880," KILROY International A/S is a Danish company founded in 1902 after the merger of a number of Scandinavian travel agents.James T. Kilroy (September 26, 1902 – November 24, 1963) was an American worker at the Fore River Shipyard who is believed to have been the origin of the ""Kilroy was here"" expression.",hallucination
4338," Dale H. ""Ted"" Tetzlaff (3 June 1903, Los Angeles, California – 7 January 1995, Sausalito, California) was a noted Academy Award-nominated Hollywood cinematographer active in the 1930s and early to mid-20th century.David Siegel is an American film director and producer who has worked on several films with Scott McGehee since the late '80s.",hallucination
2771," He is an indoor national senior champion for his category, and also a member of the Belgian national track relay team.The 400 metres, or 400 metre dash, is a common sprinting event in track and field competitions.",hallucination
6580,"The evil clown is a subversion of the traditional comic clown character, in which the playful trope is instead rendered as disturbing through the use of horror elements and dark humor. The modern archetype of the evil clown was popularized by Stephen King's 1986 novel ""It"".It is a 1986 horror novel by American author Stephen King. It was his 22nd book and 18th novel written under his own name.",supported
1254," René Philippe Kouassi (born 14 December 1979 in Abidjan, Côte d'Ivoire) is an Ivorian archer. Ivory Coast's political capital is Yamoussoukro, and its economic capital and largest city is the port city of Abidjan.",hallucination
9179," The highway's southern terminus is Bonner Springs, Kansas at I-70. The route covers 424 mi and passes through several of the state's principal cities in the process including Kansas City, Topeka, and Salina.",supported
1432," Bedtime Stories is a 2008 American family-fantasy-comedy film directed by Adam Shankman, written by Matt Lopez and Tim Herlihy and produced by Andrew Gunn and Jack Giarraputo.Richard Thomas Griffiths, OBE (31 July 1947 – 28 March 2013) was an English actor of film, television, and stage.",hallucination
9220,"Linqing () is a county-level city under the administration of the prefecture-level city of Liaocheng in western Shandong Province, China.Luzhou (; Sichuanese Pinyin: Nuzou; Luzhou dialect: ), formerly transliterated as Lu-chou or Luchow, is a prefecture-level city located in the southeast of Sichuan Province, China.",supported
7820,"George Popham (1550–1608) was a pioneering colonist from Maine, born in the southwestern regions of England. He was an associate of English Colonizer Sir Ferdinando Gorges in a colonization scheme for a part of Maine.Sir Ferdinando Gorges (1565-1568? His early involvement in English trade with and settlement of North America as well as his efforts in founding the Province of Maine in 1622 earned him the title of the ""Father of English Colonization in North America,"" even though Gorges himself never set foot in the New World.",supported
733," Catching Fire is a 2009 science fiction young adult novel by the American novelist Suzanne Collins, the second book in ""The Hunger Games trilogy"". It is written in the voice of 17-year-old Katniss Everdeen, who lives in the future, post-apocalyptic nation of Panem in North America.",hallucination
1501," The season consisted of 22 episodes and stars Gina Rodriguez as a young Latina university student accidentally artificially inseminated with her boss, Rafael Solano's (Justin Baldoni) sperm. She also portrayed roles as Majo Tenorio in musical-drama film ""Filly Brown"", as Beverly in the soap opera ""The Bold and the Beautiful"" and Andrea Fleytas in ""Deepwater Horizon"".",hallucination
9436,"Sheryl Gascoigne (née Failes; born 24 September 1965) is a British television personality and author. She is the former wife of footballer Paul Gascoigne and the mother of glamour model Bianca Gascoigne. She is the daughter of Sheryl Gascoigne, and adopted daughter of Paul Gascoigne, a former footballer.",supported
39," In September 2004, massive rains from the remnants of Hurricane Frances caused the Swannanoa to flood, causing major damage to the Biltmore Village section of Asheville and other communities that it flows through. Ivan formed in early September and reached Category 5 strength on the Saffir-Simpson Hurricane Scale.",hallucination
8876,"Laurence Johnston Peter (September 16, 1919 – January 12, 1990) was a Canadian educator and ""hierarchiologist"" best known to the general public for the formulation of the Peter principle.The Peter principle is a concept in management theory formulated by educator Laurence J. Peter and published in 1969. It states that the selection of a candidate for a position is based on the candidate's performance in their current role, rather than on abilities relevant to the intended role.",supported
8134," He was the first Italian appointed to referee the FIFA World Cup final, which occurred when he took charge of the 1978 final between hosts Argentina and the Netherlands.The 1978 FIFA World Cup Final was a football match played to determine the winner of the 1978 FIFA World Cup. Mario Kempes, who finished as the tournament's top scorer, was named the man of the match.",supported
7381," Located at the foot of the Champs-Élysées, the Crillon along with the Hotel de la Marine is one of two identical stone palaces on the Place de la Concorde.The Place de la Concorde (] ) is one of the major public squares in Paris, France.",supported
782," Minneapolis–Saint Paul International Airport (IATA: CYS, ICAO: KCYS, FAA LID: CYS) , also known as Wold–Chamberlain Field, is a joint civil-military public use international airport.Cheyenne Regional Airport (IATA: MSP, ICAO: KMSP, FAA LID: MSP) (Jerry Olson Field) is a civil-military airport a mile north of downtown Cheyenne in Laramie County Wyoming.",hallucination
