,input,label
17," Renée Montagne (pronounced Mon-TAIN) is an American radio journalist and was the co-host (with Steve Inskeep and David Greene) of National Public Radio's weekday morning news program, ""Morning Edition"", from May 2004 to November 11, 2016. Montagne and Inskeep succeeded longtime host Bob Edwards, initially as interim replacements, and Greene joined the team in 2012.Robert Alan ""Bob"" Edwards (born May 16, 1947) is an American broadcast journalist who has been a member of the National Radio Hall of Fame since its inaugural class in March",hallucination
18," He worked with dancers, including Sophie Pflanz, Anna Pavlova, and Ruth St. Denis among others.Sophie Pflanz (January 20, 1879 – July 21, 1968) was an American modern dance pioneer who introduced eastern ideas into the art.",hallucination
19," The Postal Service were an American indie rock band from Seattle, Washington, consisted of vocalist Ben Gibbard (of Death Cab for Cutie), producer Jimmy Tamborello (of Dntel and Headset), with Jenny Lewis (of Rilo Kiley) on background vocals.Chagall Guevara was formed in 1989 by solo artist Steve Taylor, guitarists Dave Perkins and Lynn Nichols (from the 1970s Phil Keaggy band), bassist Wade Jaynes, and drummer Mike Mead.",hallucination
20," Time Takes Time is the tenth studio album by Ringo Starr, released in 1992, his critically acclaimed comeback album. He occasionally sang lead vocals like ""Yellow Submarine"", ""Good Night"", and their cover of ""Act Naturally"".",hallucination
21," The Inter-American Peace Force (IAPF) was established, by the Organization of American States, on 23 May 1965, after the United States's intervention in Cuba. It occupies the eastern five-eighths of the island, which it shares with Haiti and Saint Martin.",hallucination
22," She is known for portraying Dr. Elliot Reid on the NBC/ABC comedy series ""Scrubs"", the second Rebecca ""Becky"" Conner on the ABC sitcom ""Roseanne"", Stella Zinman on the CBS sitcom ""How I Met Your Mother"", and Beth Smith on Adult Swim's adult animated science-fiction series ""Rick and Morty"". The series reached #1 in the Nielsen ratings, becoming one of America's most watched television shows from 1989 to 1990.",hallucination
23," Adam Clayton Powell is a 1989 American documentary film directed by Richard Kilberg about the civil rights leader.The Saimaa Gesture (Finnish: ""Saimaa-ilmiö"" ) is a 1981 film by Finnish directors Aki and Mika Kaurismäki. It is a documentary of three Finnish rock groups aboard the steamboat SS Heinävesi on their tour around Lake Saimaa.",hallucination
24," Kryakutnoy (Russian: Крякутной ) or Furtzel (Russian: Фурцель ) was a fictional early 18th-century Russian inventor, who allegedly invented the hot air balloon fifty years before a pair of brothers from Spain.Joseph-Michel Montgolfier (26 August 1740 – 26 June 1810) and Jacques-Étienne Montgolfier (6 January 1745 –",hallucination
25," The film stars Virginia Madsen, Graham Rogers, Amanda Crew, Zach Gilford and Sam Trammell. She made her film debut in ""Class"" (1983), which was filmed in her native Chicago.",hallucination
26," Robert Francis Foster ""Roy"" Felton (12 August 1918 – 24 April 1982) was an English footballer who played for Everton, Port Vale, Crystal Palace, South Liverpool, Nottingham Forest and Northwich Victoria.Northwich Victoria Football Club is an English football club based in Northwich Cheshire playing their home games at Townfield the home of Barnton.",hallucination
27," The 1978 Miami Dolphins season saw the team return to the NFL playoffs for the first time since 1974, with an 11–5 record. The former record was equalled by the winning team of Super Bowl XXXIX, and their win set a new record.",hallucination
28," Agnes Salm-Salm (December 25, 1844 – December 21, 1912) was the American wife of Prince Felix zu Salm-Salm, a Prussian mercenary beside whom she played a role in the Mexican Civil War alongside President Juárez.Benito Pablo Juárez García (] ; March 20th , [ ] ) was a Mexican lawyer and liberal politician of Zapotec origin from Oaxaca.",hallucination
29," It was directed by Jeff Tremaine which he co-produced with Dave England and Preston Lacy and co-wrote with Bam Margera, Chris Pontius, Steve-O, Ryan Dunn, Ehren McGhehey.Jeffery James Tremaine (born September 4, 1966) is an American film director who has worked on Jackass films.",hallucination
30," Nicola Sutter (born 5 May 1995) is a Swiss professional footballer who currently plays as a midfielder for FC Thun.FC Thun (""Fussballclub Thun 1898"") is a Swiss football team from the Bernese Oberland town of Thun.",hallucination
31," After running afoul of neighborhood Irish Mob boss Louis Litif, James Joseph ""Whitey"" Bulger Jr. ( ; born September 3, 1929) is an Irish-American former organized crime boss of the Winter Hill Gang in Boston, Massachusetts.",hallucination
32," Rise of Mana, known in Japan as ""Seiken Densetsu: Rise of Mana"", is a Japanese action role-playing video game developed by Square Enix and Goshow for Nintendo Switch.The PlayStation Vita (officially abbreviated PS Vita or Vita) is a handheld game console developed and released by Sony Interactive Entertainment.",hallucination
33," Babe Ruth are a rock band from Hatfield, Hertfordshire, England.Hatfield is a town and civil parish in Hertfordshire, England, in the borough of Welwyn Hatfield.",hallucination
34," Robert Florey (14 September 1900 – 16 May 1979) was a French-American director, screenwriter, film journalist, and occasional actor. Geoffrey Peter Murphy {'2': "", '3': "", '4': ""} (born 13 October 1938) is a New Zealand filmmaker as a producer director and screenwriter best known for his work during the renaissance of New Zealand cinema that began in the last half of the",hallucination
35," Swick, who trains at American Kickboxing Academy alongside fellow welterweight standout Jon Fitch, entered the UFC after appearing on the inaugural season of The Ultimate Fighter.Jonathan Parker Fitch (born February 24, 1978) is an American mixed martial artist, competing in the welterweight division of Professional Fighters League where he is the current PFL Welterweight Champion.",hallucination
36, Fuling District and Qidong are located in two different countries.,hallucination
37," Candleshoe is a 1977 American family adventure film produced by Walt Disney Productions based on the Michael Innes novel ""Christmas at Candleshoe"" and starring Jodie Foster, David Niven, Helen Hayes in her last big screen appearance and Leo McKern.Pooh's Heffalump Movie is a 2005 American animated film produced by DisneyToon Studios and released by Walt Disney Pictures, featuring characters from A. A. Milne's ""Winnie-the-Pooh"" stories",hallucination
38," ""Cold North Killer's"" own definition of what constitutes a Canadian serial killer includes both Canadians who committed murder abroad (such as Keith Hunter Jesperson and Gordon Stewart Northcott) and non-Canadians who committed murder in Canada (like William Dean Christenson).Earle Leonard Nelson, known as ""the Gorilla Man,"" was an American serial killer.",hallucination
39," In September 2004, massive rains from the remnants of Hurricane Frances caused the Swannanoa to flood, causing major damage to the Biltmore Village section of Asheville and other communities that it flows through. Ivan formed in early September and reached Category 5 strength on the Saffir-Simpson Hurricane Scale.",hallucination
40," It was a part of Joplin's set at Lollapalooza in 1969.Janis Lyn Joplin ( ; January 19, 1943 – October 4, 1970) was an American rock singer and songwriter.",hallucination
41," Their single of a novelty song called ""Rip Van Winkle"" was released in 1961 on Delta Records; the tune was re-released on Roulette Records in 1962 and again on Roulette in 1964.""Rip Van Winkle"" is a short story by American author Washington Irving published in 1805.",hallucination
42," It is designed as a 2D puzzle action-adventure and features the six original Disney Princesses: Aurora, Belle, Cinderella and Snow White are in the main game, while Jasmine and Ariel are playable in minigames.Ariel is a fictional character and the title character of Walt Disney Pictures' 28th animated film ""The Little Mermaid"" (1989).",hallucination
43," Neetho (English: ""With You"" ) is a 2002 Telugu romance film directed by John Mahendran, starring Prakash Kovelamudi and Mahek Chahal in their debut roles.Mahek Chahal (born 1 February 1979) is a Norwegian actress and model who appears in Bollywood films.",hallucination
44," Blackburn Rovers F.C. finished in the top half of the Premier League for the third successive season, this time ending up in 7th place, ultimately not enough for European qualification. Striker Roque Santa Cruz, a summer signing from Bayern Munich and Paraguayan footballer is also leading scorer of Albirroja with 32 goals and is currently sixth Paraguay national team player to reach 100 appearances",hallucination
45," The Guggenheim Museum SoHo was a branch of the Guggenheim Museum designed by Arata Isozaki that was located at the corner of Broadway and Prince Street in Manhattan's SoHo neighborhood, New York City.The Solomon R. Guggenheim Museum, often referred to as The Guggenheim, is an art museum located at 1071 Fifth Avenue on the corner of East 89th Street in the Upper East Side neighborhood of Manhattan, New York City. The museum was established by the Solomon R.",hallucination
46," Savenac Nursery Historic District is located near Haugan in Mineral County, Montana. The nursery was created by Elers Koch, of the Forest Service, who also helped fight the Great Fire of 1910 that destroyed much of the Rocky Mountains in northeast Washington and northern Idaho.The Great Fire of 1910 (also commonly referred to as the Big Blowup or Devil's Broom fire) was a wildfire in northeast Washington and northern Idaho that burned about 3 million acres.",hallucination
47," Giovanni Giarola or Gerolli (1518–1557) was an Italian painter of the Renaissance style, active mainly in Lombardy.Lombardy (Italian: ; Emilian: ""Lumbàrdia"" , Latin: ""Lombrĭdĭa"" ) is one of the 20 regions of Italy. It has an area of 23,844 square kilometres (9,206 sq mi), and a populationof about 10 million. Its capital is Milan . The region consists mostlyof fertile plains subdivided by rivers such as Po and Ticino . The Po Valley forms the heartland for most economic activity in northern Italy with its industrial cities like Turin , Milan , Brescia and Bergamo . In addition to these major urban centres there are many smaller towns throughout Lombardy that have preserved their medieval character over time due to strict building codes enforced by local governments which prohibit modern architecture from being built within city limits unless it meets certain criteria set forth by lawmakers at both federal & regional levels respectively..",hallucination
48," He worked for eighteen years at the BBC and has written plays and novels, but is best known for his non-fiction books about ""terrorism"". He has written books about the loyalist paramilitary Michael Stone and Special Air Service founder Paddy Mayne. During the course of the Second World War he became one of the British Army's most highly decorated soldiers.",hallucination
49," Westringia is a genus of Japanese shrubs.Anemonopsis, the false anemone, is a monotypic genus in the family Ranunculaceae, containing only the species Anemonopsis macrophylla, endemic to Japan's main island of Honshu.",hallucination
50," Philip Sinon is a Seychellois Olympic middle-distance runner.The modern Olympic Games or Olympics (French: ""Jeux olympiques"" ) are leading international sporting events featuring summer and winter sports competitions in which thousands of athletes from around the world participate in a variety of competitions. The Olympic Games are held every four years, with the Summer and Winter Games alternating by occurring every four years but two years apart.",hallucination
51," Norbert Holm (16 December 1895 – 3 June 1962) was a general in the Wehrmacht of Nazi Germany during World War II. Following the arrest and later demotion because of his Chief of Operations association with Field Marsal Erwin Rommel, he served as field marshal in the Wehrmacht of Nazi Germany during World War II.",hallucination
52," The Center for Advanced Studies In Engineering (Temple University), is a private research college located in the suburb of Islamabad, Pakistan. CASE is affiliated with the University of Engineering and Technology, Taxila.",hallucination
53," ZenQuest Martial Arts Center, formerly called the Okinawan Karate School, is a martial arts school located in Lenox, Massachusetts. It is affiliated with the Okinawan Karatedo Association and Demian Maia Jiu-Jitsu Association and accredited by the North American Grappling Association.Demian Augusto Maia Baptista (] born November 6, 1977) is a Brazilian mixed martial artist and Brazilian Jiu-Jitsu practitioner who has competed for Ultimate Fighting Championship (UFC).",hallucination
54," The Boy Who Cried Bitch is a 1991 American independent drama film directed by Juan Jose Campanella and starring Harley Cross, Karen Young, Jason Biggs (in his first speaking role), Jesse Bradford and Adrien Brody.Jesse Bradford (born May 28, 1979) is an American actor.",hallucination
55," Ren and Stimpy, created by John Kricfalusi, are the title characters in the American-Canadian animated television series ""The Ren & Stimpy Show"". The Ren & Stimpy Show is an American animated series created by John Kricfalusi for Nickelodeon.",hallucination
56," Bronco is a Western series on ABC from 1958 through 1962.Thomas Coleman ""Cole"" Younger (January 15, 1844 – March 21,",hallucination
57," The Siege of Klis or Battle of Klis (Croatian: ""Opsada Klisa ""or"" Bitka kod Klisa"" , Turkish: ""Klise Kuşatması"") was a siege of the Ottoman Empire in the Kingdom of Croatia within Habsburg Monarchy.The Ottoman–Habsburg wars were fought from the 16th through the 18th centuries between the Ottoman Empire and Habsburg (later Austrian) Empire, which was at times supported by Holy Roman Emperor, Kingdoms Hungary and Spain.",hallucination
58," The label currently includes Raz Simone, Tee Grizzley, Fetty Wap, Young Thug had a debut single ""Trap Queen"", Rejjie Snow, Alex Winston, Migos and Conrad Sewell. He rose to prominence after his debut single ""Trap Queen"", reached number two on the U.S. ""Billboard"" Hot 100 chart in May 2015",hallucination
59,"  Campbell is best known for her roles in ""2001 Maniacs"", ""Mozart and the Whale"", ""Lonely Hearts"", ""The Wicker Man"", ""Cleaner"", Steven Spielberg, Drive Angry, Stay Alive, The Iceman""Drive Angry is a 2011 American fantasy action film starring Nicolas Cage and Amber Heard.",hallucination
60," Loma is a census-designated place (CDP) in Chouteau County, Montana, United States. As of the 2010 census, the population was 5813.",hallucination
61," Robert Alan Durst (born April 12, 1943) is an American real estate heir, the son of New York City mogul Seymour Durst, and the elder brother of Douglas Durst, head of the Durst Organization. He is primarily known for being suspected of foul play against three individuals in different states: Kathleen McCormack Durston (his first wife), who disappeared in New York in 1982; Susan Berman (the daughter of a Las Vegas mob figure who was also a journalist and victim), murdered by him on December 24th ,and Morris Black(who was murdered by him on December).",hallucination
62," Nine is a 2009 romantic musical drama film directed and produced by Rob Marshall and written by Michael Tolkin and Anthony Minghella. The ensemble principal cast consists of Daniel Day-Lewis, Marion Cotillard, Penélope Cruz Sánchez (] ; born 28 April 1974) is a Spanish actress and model. Signed by an agent at age 15, she made her acting debut at 16 on television and her feature film debut the following year in ""Jamón Jamón"" (1992) to critical acclaim.",hallucination
63," They included Tom Peters, Malcolm Gladwell, Guy Kawasaki, Mark Cuban and Dan Pink. He is the owner of the NBA's Dallas Mavericks co-owner of 2929 Entertainment and chairman of AXS TV.",hallucination
64," Turn Coat is the 11th book in ""The Dresden Files"", Jim Butcher's continuing series about wizard detective Harry Blackstone Copperfield Dresden. The first novel, ""Storm Front"", was published in 2009 by Roc Books.",hallucination
65," The first movement features in the 2016 film ""The Age of Shadows""The Piano Sonata is not featured.",hallucination
66," Just Do It (stylized as JUST DO IT.) is a trademark of shoe company Nike, and one of the core components of Nike's brand.The Swoosh is the logo of American athletic shoe and clothing manufacturer Nike, Inc. Today, it has become one of the most recognizable brand logos in the world, and makes billions alone.",hallucination
67," During the 1950s and the 1960s, he worked for both MI5 and MI6, and began writing novels under his pen name. John le Carré is directed by JIC.",hallucination
68," Ken Coates (born 1956 in Alberta and raised in Whitehorse, Yukon) is a Canadian historian focused on the history of the Arctic and Aboriginal rights and indigenous claims. All land, internal waters, territorial seas and EEZs in the Arctic are under the jurisdiction of one of the five Arctic coastal states: Canada, Norway, Russia, Denmark (via Greenland), and United States.",hallucination
69," Nicholas Ray (born Raymond Nicholas Kienzle Jr., August 7, 1911 – June 16, 1979) was an American film director best known for the movie ""Rebel Without a Cause.""Elia Kazan (born Elias Kazantzoglou September 7, 1909 – September28,2003) was a Greek-American director and producer who worked in both Hollywood and Broadway. He is considered one of the most honored and influential directors in American cinema history. His films include A Streetcar Named Desire (which won him his first Academy Award), On The Waterfront , East of Eden , Splendor In The Grass , Baby Doll , Gentleman's Agreement .",hallucination
70," Vincent Francis Walker (born March 2, 1980), better known as Vince Walker, is an American multi-instrumentalist, best known as the lead singer of third-wave ska band Suburban Legends.Michael Crafter sang in more bands.",hallucination
71," Jack Scrimshaw, a player for the Cairns-based AFL team, made his debut in the fifty-four point loss to the Western Bulldogs at Cazaly's Stadium in round eighteen of the 2017 season.Cazaly's Stadium is a sports stadium located in Westcourt, a suburb of Cairns, Australia.",hallucination
72,"  Motorbase Performance drivers Michael Caine and Daniele Perfetti won the GT3 category in a Porsche 997 GT3-R, Team WFR's Jody Fanin and Warren Hughes won the GT4 championship driving a Ginetta G50, while Ryan Hooker and Gary Eastwood took the GTC title in a Ferrari 458 Challenge driving for FF Corse. The British Touring Car Championship (BTCC) is an annual motor racing competition held across England. It was first established as part of Formula Two regulations by RAC Motorsport Ltd., which also organised other motorsport events such as Formula Three until it became independent from them after World War II when they were taken over by another company called BARC Limited who then changed their name to British Automobile Racing Club Limited before finally becoming known simply as ""The BARC"".",hallucination
73," Richard Allan Peterson (September 12, 1946 – October 12, 2009) was an American musician, best known as the bassist and lead singer for Blue Cheer.Eleandre ""Ely"" Basiño Buendia (born November 2, 1970) is a Filipino musician who gained fame as guitarist and lead vocalist of the popular Filipino rock band Eraserheads.",hallucination
74," Never a Dull Moment is a 1974 American comedy crime film from Walt Disney Productions starring Dick Van Dyke who was born in 1935 and directed by Jerry Paris.Richard Wayne Van Dyke (born December 13, 1925) is an American actor, comedian, singer, dancer, writer and producer.",hallucination
75," Its basis is the Fragrant Concubine, a Chinese legend about a Uighur girl from Kashgar who became a concubine of the Qianlong Emperor. The cartoon was produced to improve relations between the Han Chinese and the Uighurs. They constitute approximately 92% of China's population, making them one of its largest ethnic groups with over 17%.",hallucination
76," The island is approximately 165 acres in size and is reportedly owned by Jeffrey Epstein. There are two estates on Great Saint James, U.S. Virgin Island owned by Jeffrey Epstein.",hallucination
77, He was initially picked with the 43rd selection in the 2011 AFL draft.The 2012 AFL draft consisted of five opportunities for player acquisitions during the 2013/14 Australian Football League off-season.,hallucination
78," Jeffrey Michael Nielsen (born September 20, 1971 in Minnesota) is a retired American professional ice hockey player who played in the NHL with the New York Rangers, Anaheim Mighty Ducks, and Minnesota Wild.Grand Rapids is a city in Itasca County, Minnesota.",hallucination
79," New York currently has 29 licensed and operating wineries with several more prospective wineries in various stages of development. They provide for 48 distinct liquor licenses granted to manufacturers, wholesalers, retailers, and for the public warehousing and transport of alcoholic beverages.",hallucination
80," PrivatAir is a Swiss airline operating business jets, headquartered at Geneva Airport in Meyrin. It is located 5 km northwest of the city centre.",hallucination
81," Emil Johansson (born May 6, 1996) is a Swedish professional ice hockey player. He is currently playing with the Boston Bruins of the National Hockey League (NHL) as a prospect to the Providence Bruins of the American Hockey League (AHL). Johansson was selected by the Bruins inthe seventh round (206th overall) ofthe 2014 NHL Entry Draft.The 2014 NHL Entry Draft was held on June 27–38 at Wells Fargo Center in Philadelphia, Pennsylvania and broadcast on television by Sportsnet and TVA Sports. The draft lottery took place on April",hallucination
82," Pablo Trapero (Born 4 October 1971) is an Argentine film producer, editor and director. Aleksander Ford (born Mosze Lifszyc; 24 November 1908 in Kiev, Russian Empire – April fourth of fourteenth century) was a Polish Jewish film director; and head of the Polish People's Army Film Crew in the Soviet Union during World War II.",hallucination
83," Trishna is a 2011 British-Swedish-Indian drama film, written and directed by Michael Winterbottom, and starring Freida Pinto and Riz Ahmed. She was born in Delhi, India, and decided when she was young that she would become an actress.",hallucination
84," Jeremias Friedrich Gülich was a dyer in the neighbourhood of Stuttgart: he published ""Complete Dyeing and Bleaching Book"" an elaborate 6 Volume work on the technical details of dying. Johann Wolfgang von Goethe praised Jeremias' contribution to optics heavily in his book Theory of Colours (German: ""Zur Farbenlehre"") is a book by Johann Wolfgang von Goethe about the poet's views on the nature of colours and how these are perceived by humans. Published in 1810, it contains detailed descriptions of phenomena such as coloured shadows, refraction, and chromatic aberration.",hallucination
85," Lance Stephenson Jr. (born September 5, 1990) is an American professional basketball player for the Indiana Pacers of the National Basketball Association (NBA). They play their home games at Bankers Life Garage.",hallucination
86," FC Barcelona had one of its most successful seasons in the club's history, retaining the domestic league supremacy and reaching the final of the UEFA Champions League; however they collapsed 0-4 against AC Milan (goals from Daniele Massaro scored two goals.",hallucination
87," Daniel Z. Freedman (born 1939 in Hartford, Connecticut) is an American theoretical physicist. As of the 2010 Census, Hartford's population was 126,005 making it Connecticut's third-largest city after the coastal cities of Bridgeport and New Haven.",hallucination
88," One April Fool's Day gig at the 40 Watt in Athens, they performed R.E.M.'s ""Reckoning"" album from beginning to end, while Michael Jackson was in attendance.John Michael Stipe (born January 4, 1960) is an American singer, songwriter, musician and philanthropist who has been a member of the rock band R.E.M since its formation in Athens Georgia",hallucination
89," The field tensor was first used after the four-dimensional tensor formulation of special relativity was introduced by a mathematician and professor who had taught at Königsberg, Zürich and Göttingen.",hallucination
90," William Robert ""Billy Bob"" Thornton (born August 4, 1955) is an American actor, filmmaker and director.Gene Saks (November 8, 1921 – March 28,",hallucination
91," The duo has since co-written and produced tracks such as ""Man Down"" by Rihanna and ""Who Gon Stop Me"" by Kanye West and Jay-Z, both of which charted prominently on ""Billboard"".",hallucination
92," Sarah is an unincorporated community within Elliott County, Kentucky, United States. Its county seat adjacent to Sandy Hook.",hallucination
93," In 1945, 20th Century Fox bought the film rights to the novel, which had been published only in the United Kingdom at that time. It is one of the ""Big Six"" major American film studios and is located in Los Angeles just west of Beverly Hills.",hallucination
94," Confessions of a Serial Killer is a 1985 American horror film directed by Mark Blair. Preceding """" by one year, the film details a serial killer (based on Henry Lee Lucas) who, after being arrested, confesses to the murders of over 200 women.Henry Lee Lucas (August 23, 1936 – March 12,",hallucination
95," Eugene Hütz (Ukrainian: Євген Гудзь ; born Yevheniy Aleksandrovich Nikolayev-Simonov, Russian: Евгений Александрович Николаев-Симонов , 6 September 1972) is a Ukrainian-born singer, composer, disc jockey and actor. He was also a record producer.",hallucination
96," The Cordner–Eggleston Cup is the current name of a historic private school Australian rules football competition which has been played annually between Melbourne Grammar School and the Scotch College since 1858.Melbourne Grammar School is an independent, Anglican, day and boarding school predominantly for boys, located in Toorak and Caulfield suburbs of Melbourne Victoria Australia.",hallucination
97," The film was produced by City Lights.City Lights is a 1931 American pre-Code silent romantic comedy film written, produced, directed by and starring Charlie Chaplin.",hallucination
98,"  It also brews and markets Faxe in Denmark. It is well known around Germany for its 5% & Heineken are produced, North America for its 8% &10% cans, and Denmark where it is produced, and especially in Norway.",hallucination
99," The Franklin–Nashville Campaign, also known as Hood's Tennessee Campaign, was a series of battles in the Western Theater, conducted from September 18 to December 27, 1864. The Confederate Army of Tennessee under Lt. Gen. John Bell Hood drove north from Atlanta threatening Maj. Gen William T Sherman's lines of communications and central Tennessee until he passed away on August 30th in the year that is unknown",hallucination
100," The Program (working title Icon) is a 2015 biographical drama film about Lance Armstrong directed by Stephen Frears, starring Chris O'Dowd as Armstrong and Ben Foster as journalist David Walsh. Armstrong is the 1993 professional world champion, and won the Tour de France a record seven consecutive times from 1999 to 2005.",hallucination
101," The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, which was located near California.",hallucination
102," Amazon Prime Air is a cargo airline that contracts through ABX Air, as well as a conceptual drone-based delivery system currently in development by Amazon.com.ABX Air, Inc., formerly known as ""Airborne Express"", is owned by Amazon and headquartered at Wilmington Airport near the City of Wilmington, Ohio USA.",hallucination
103," Melvin Frank (13 August 1913 in Chicago, Illinois – 13 October 2008 in Los Angeles, California) was an American screenwriter and film director. Justin David Swibel (born April 4, 2005) is an American screenwriter and film producer.",hallucination
104," The Oh, Hello Show is a comedy act created by Americans Nick Kroll and John Mulaney that was popularized on Comedy Central's ""Kroll Show"". The show centers on Gil Faizon (Kroll) and George St. Geegland (Mulaney), elderly men from the Upper West Side of Manhattan who are known for their turtlenecks, misinformed beliefs, and tendency to say ""Oh, hello"" in unison.John Edmund Mulaney (born August 26, 1982) is an American stand-up comedian who played St. Geegland in the Kroll Show that was popularized on Comedy Central's ""Kroll Show"". He is best known for his work as a writer on Saturday Night Live",hallucination
105,"  He was asked by Rabbi Yosef Shlomo Kahaneman to join the previous two heads of the institute, Rabbi Elazar Menachem Shach and Rabbi Shmuel Rozovsky to create a triumvirate in leading the Yeshiva. He was a renowned Kabbalah and Talmudic scholar, a distinguished member of the Council of Torah Sages of Agudath Israel.",hallucination
106," Professor Matthew Bailes is an astrophysicist at the Centre for Astrophysics and Supercomputing, Swinburne University of Technology and the Director of OzGrav, the ARC Centre of Excellence for Gravitational Wave Discovery.Swinburne University of Technology (often simply called Swinburne) is an Australian public university based in Sydney which is located 7.5 km from Melbourne central business district.",hallucination
107," The book discusses the unwanted sexual advances she received from Roger Ailes while working at Fox News, as well as her feud with then Presidential nominee Donald Trump.Donald John Trump (born June 14, 1946) is the 45th and current President of the United States, in office since January 20,",hallucination
108," Harry Brown is a 2009 British vigilante action-thriller film directed by Daniel Barber and starring Sir Michael Caine, Emily Mortimer, Jack O'Connell (born 1 August 1990) is an English actor. Born and brought up in Derby, he trained in acting at the Central Junior Television Workshop in nearby Nottingham, which led to roles in film, television",hallucination
109," Soul Asylum is an American alternative rock band formed in 1981 in Minneapolis, Minnesota.Soundgarden is an American rock band formed in Seattle, Washington, in 1984 by singer and rhythm guitarist Chris Cornell, lead guitarist Kim Thayil, and bassist Hiro Yamamoto.",hallucination
110," The character Keyser Söze was inspired by real life murderer John List and the spy thriller ""No Way Out"", which featured a shadowy KGB mole. On November 9, 1971, he killed his wife, mother, and three children in their home in New Jersey then disappeared.",hallucination
