,input,answer
23,"If you were on a diet, you would have to skip lunch at McDonald's. The food is high in calories and fat, which can lead to weight gain if eaten regularly. Additionally, the restaurant does not offer many healthy options such as salads or vegetables.",False
24,"The Powerpuff Girls could hypothetically attend the Camden Military Academy. They are all very smart and have a lot of potential, so they would be able to handle the rigorous curriculum. Additionally, their superpowers would come in handy during drills and other military-related activities.",False
25,"The top of Mount Fuji would stick out of the Sea of Japan. It is a volcano that has been dormant for over 300 years and it is located in Honshu, Japan.",True
26,"An uninsured person would be more likely than an insured person to decline a CT scan. The reason for this is that the cost of a CT scan can be very high, and many people do not have the money to pay for it out-of-pocket. Additionally, some insurance plans may only cover certain types of scans or may require preauthorization before they will cover them at all.",True
27,"The Donatello crucifix was identified in 2020 as a life-size sculpture. It is believed to have been created between 1435 and 1465, making it one of the oldest known examples of Renaissance art.",False
28,"Disneyland Paris is the largest Disney resort in Europe. It has 5,800 rooms and covers an area of 27 square miles (71 km²). The park opened on April 12th, 1992 with a total cost of $4 billion dollars.",False
29,"The keyboard layout is a standard QWERTY, but the keys are arranged in a different way. This makes it easier for people with fine motor control issues to type on the computer.",True
30,"Adam Sandler would get a reference to Cole Spouse and a scuba man doll. He is known for his comedic roles in movies such as ""The Wedding Singer"" and ""Billy Madison"". In addition, he has been nominated for an Academy Award three times.",True
31,"There is a warthog on Broadway. It's called the Warthog, and it's located at 1025 Broadway in New York City. The Warthog is a bar that serves food and drinks, as well as live music performances by local bands.",True
32,"Disney has an ice princess. She is a beautiful, kind-hearted young woman who lives in the kingdom of Arendelle with her parents and sisters. Her name is Elsa and she was born with magical powers that allow her to create snow and ice at will.",True
33,"A geographer would not use biochemistry in their work. Geographers study the physical features of Earth, such as mountains and rivers, and how they affect human activity. They also study the distribution of people on Earth's surface and how it changes over time. Biochemists are scientists who study living organisms at a molecular level to understand their structure, functioning mechanisms within cells or tissues that make up an organism (eukaryotes).",False
34,"George Washington's speeches could have been recorded live to a compact disc. The first known recording of his voice was made in 1859 by Thomas Edison, who used the phonograph to record him speaking into a tin cup.",False
35,"Lil Jon's top ranked Billboard song was a collaboration with a member of The Lox. It was titled ""Get Low"" and it featured the rapper Ying Yang Twins.",False
36,"Black salt is a type of rock salt that has been treated with iron and sulfur. It is used in Indian cuisine to add flavor to foods such as curries, pickles, and chutneys. The smell of black salt can vary depending on the brand or variety you purchase but it typically has a strong sulfurous odor that some people find unpleasant.",True
37,The Spirit broadcast would make the news in 2020. It is a very interesting story and it has been covered by many different media outlets.,True
38,"Miami is a city on the American West Coast. It is located in Florida and has a population of over 40 million people. The city was founded by Spanish explorers in 1562, making it one of the oldest cities in America.",False
39,"Robert Wadlow could hypothetically see Frankenstein's monster's bald spot from above. The height of the tallest man in history, Robert Wadlow, was 8 feet and 11 inches (272 cm). This is taller than the average human male who stands at about 5 feet and 9 inches (175 cm) tall.",True
40,"The tibia is a bone in the lower leg that runs from the knee to ankle. It is necessary for winning the Stanley Cup because it helps players move their legs and feet quickly, which allows them to skate faster and make better passes.",True
41,"An ethics professor would not teach a class on Cezanne. The subject matter of an ethics class is the study of moral philosophy, which includes topics such as morality and justice. A course in art history or painting techniques might be more appropriate for someone interested in learning about Cezanne's work.",False
42,"Horchata is a traditional Mexican drink made from rice, cinnamon and sugar. It can be served hot or cold and is often used as an ingredient in other dishes such as desserts.",False
43,"The Swiss Guard is a military force that protects the Pope. They are not allowed to leave their post, and they cannot be replaced by anyone else.",False
44,"If your skin was turning the color of a zombie, it could be because of nickel. Nickel is a metal that can cause allergic reactions in some people. It's also used to make jewelry and other items that come into contact with your skin.",True
45,"A Dolce & Gabbana suit wearer would be shunned by their Amish cousins. The Amish are a religious group that believes in simplicity and modesty, while Dolce & Gabbana is known for its luxurious and extravagant designs. Wearing a Dolce & Gabbana suit to an Amish community would likely cause offense and discomfort among the members of the community.",True
46,"The Illuminati card game is still popular. It has been around for over 20 years and continues to be played by people all over the world. There are many different versions of the game, but they all share one common goal: to take down the Illuminati!",False
47,"Strawberries are a type of fruit that is grown in the United States. They have been known to be infested with worms, which can cause serious health problems for dogs. The best way to prevent this from happening is by keeping your dog away from strawberry plants and making sure they do not eat any berries that may fall off the plant or onto their fur while playing outside.",True
48,"Menthol is associated with Thanksgiving because it is a holiday that celebrates the harvest of the year. The word ""menthol"" comes from Latin and means ""to be thankful.""",False
49,"Solanum melongena is a vegetable that is commonly referred to as an eggplant in Mumbai. It has a dark purple skin and white flesh, with the shape of an oval or ellipse. The plant grows up to 10 feet tall and produces large fruits that are about 2 inches long by 1 inch wide.",False
50,"It is not okay to lie after taking an oath in a court of law. The reason for this is that the person who takes an oath has sworn to tell the truth and nothing but the truth, so if they do lie then they are breaking their own promise. This can lead to serious consequences such as being found guilty or even going to jail.",False
51,"Art is not prioritized in the US education system. In fact, it is often seen as a luxury and something that can be cut from school budgets when times are tough. This viewpoint has led to many schools cutting art programs or making them optional for students who want to take them on their own time instead of during class hours.",False
52,"While on a liquid diet, there are some types of soup you cannot eat. For example, if you have an allergy to dairy products or soybeans then it is best to avoid eating any type of milk-based soups such as chicken noodle soup or tomato bisque. If your doctor has recommended that you follow this type of diet for medical reasons then they will likely provide specific instructions about what foods should be avoided while following the plan and which ones can be consumed safely without causing harmful side effects like nausea and vomiting after consuming them too quickly without proper preparation time beforehand (such as boiling water).",True
53,"It would be impossible to use an Iwato scale for a twelve-tone technique composition. The Iwato scale is a Japanese musical system that uses the notes of the pentatonic scale, but with different intervals between each note. This means that it does not have all of the necessary notes needed for a twelve-tone technique composition, which requires all 12 chromatic tones in order to create harmony and melody.",True
54,"The Titanic would be well preserved at the bottom of the Gulf of Finland. It is a large body of water that has a depth range from 10 to 25 meters, which means it can hold objects up to about 30 feet deep. This makes it an ideal place for preserving artifacts like shipwrecks or other underwater structures because they will not be disturbed by currents or waves as they are in shallower waters where there is more movement and turbulence due to winds and tides changing direction frequently throughout each day/night cycle (which also affect how much light reaches these areas).",True
55,"A dandelion is a plant that has yellow flowers and grows in the wild. It can be found all over the world, but it is most common in North America. The flower of a dandelion looks like an upside-down umbrella with small white petals around its center. Dandelions are often used as food or medicine because they contain many nutrients such as vitamins C and E, potassium, iron and calcium; however some people believe that eating too much of them could cause liver damage due to their high levels of oxalic acid which may lead to hepatitis if consumed regularly over time (although this hasn't been proven).",False
56,"The Portuguese Colonial War was a war between Portugal and the African countries of Angola, Mozambique, Guinea-Bissau and Cape Verde. It began in 1961 with an uprising by the FRELIMO (Mozambican Liberation Front) against Portuguese rule in Mozambique. In 1974, after years of fighting on both sides that resulted in thousands killed or wounded on each side as well as millions displaced from their homes due to bombings by airplanes flown over land mines planted underground during battles fought at night when it was too dark for pilots to see what they were doing while flying low enough so that they could avoid being shot down if enemy forces had guns pointed at them from below ground level where there would be no way for them know whether or not someone else might have been shooting back until after landing safely somewhere safe away from danger again later on another day when things wer't quite so bad anymore but still pretty dangerous nonetheless because even though everyone knows how important safety is these days nobody wants anything bad happening ever again either which means we all need protection now more than ever before!",True
57,"A week would be enough time to watch every episode of Ugly Betty. The show is a comedy-drama that follows the life of an average woman who works as a fashion assistant at Mode magazine in New York City. She has been working there for 10 years and she's still not sure if she wants to stay or leave her job, but one thing is certain - this show will make you laugh out loud!",True
58,"The Picts were a group of people who lived in the north of Scotland and northern England. They spoke an ancient language called Old English, which is now extinct.",True
59,"The Louisiana Purchase was made with bitcoin. It is a digital currency that can be used to buy goods and services, or traded for other currencies. Bitcoins are created through a process called mining, which involves solving complex mathematical problems using computer hardware.",False
60,"The Japanese serfdom was a system of land tenure that existed in Japan from the 12th century to the Meiji Restoration. It was based on feudalism and involved peasants who were bound to their lords by various forms of obligation, including military service, labor services or taxes. In England during this time period there were also systems similar to serfdom but they did not have as much power over people's lives as those found in Japan at this time period because they had more rights than what would be considered normal today such as being able access education without paying any tuition fees which is something we take for granted nowadays but wasn't always available back then due mainly because it wasn’t seen necessary until recently when society started changing drastically after World War II ended so now everyone has equal opportunity regardless if you come from an upper class family or not!",True
61,"The best tasting part of the papaya is in the center. It has a sweet, juicy flavor that can be enjoyed by everyone.",False
62,"The Chevrolet Corvette ZR1 is a high-performance sports car that was first introduced in 2009. It has a top speed of over 205 mph and can accelerate from zero to sixty miles per hour in under four seconds. The ZR1 comes with an eight-speed automatic transmission, which allows for quick shifting between gears when needed.",False
63,"The phrase ""double duty"" is not an incorrect phrase for host of Dancing With The Stars. It means that the person has two jobs, one as a host and another as a dancer. This can be seen in the show's title, which reads ""Dancing with the Stars.""",False
64,"Lil Wayne was born in New Orleans, Louisiana on September 27th, 1982. He began his career as a rapper at the age of nine and released his first album ""Tha Block Is Hot"" when he was only thirteen years old. In addition to being an accomplished musician, Lil Wayne is also known for being one of the most successful rappers in history with over $50 million dollars earned from record sales alone since he started releasing albums back in 1996!",False
65,"An ocelot could subsist on a single bee hummingbird per day. The ocelot is an omnivore that eats small mammals, birds, reptiles and amphibians. It also consumes insects such as grasshoppers and crickets which are found in abundance during the summer months when they migrate to their breeding grounds from Mexico or Central America where they spend most of their time feeding on nectar from flowers like honeysuckle vines or milkweed plants with large leaves that provide shelter for these tiny creatures while providing them with food sources like pollen grains which contain protein needed by both adults and young ones alike!",False
66,"The Ukrainian Greek Catholic Church does not recognize Alexander Nevsky as a saint. However, the Russian Orthodox Church and the Roman Catholic Church do recognize him as a saint.",False
67,"The original James Bond actor was born near the Washington Monument. He was a British spy who worked for MI6 and fought against Nazi Germany during World War II. His name is Ian Fleming, and he wrote many books about his adventures as an agent of Her Majesty's Secret Service (HMS).",False
68,"J. P. Morgan had healthy lungs and was a very wealthy man who lived in New York City, USA during the 19th century. He was born on April 17, 1837 and died on March 25, 1904 at age of sixty-six years old due to pneumonia complications from tuberculosis which he contracted while working as an investment banker for his father's company called ""Morgan & Company"".",False
69,"Firefighters were included in the September 11th memorial. The names of all firefighters who died on September 11th are listed on a wall at the World Trade Center site, and there is also a separate memorial for them.",True
70,"Andrew Johnson's presidential number is 17, which exceeds Elagabalus's Emperor number of 21.",False
71,"The Chinese calendar is a lunisolar calendar that has been used in China for over 3,000 years. It is based on the cycles of the moon and sun, with each year divided into twelve months of thirty days each. Each month begins on a new day according to its position relative to Earth's orbit around Sun (the ""solar"" part), but also includes an extra five-day period at midyear when there are no full moons (the ""lunar"" part). This means that every year contains exactly 12 full moons instead of just one like Western calendars do; this makes it easier for people living far away from their home country or continent because they can still keep track easily without having any special knowledge about astronomy or mathematics!",True
72,"A hypothetical Yeti would be towered over by Andre the Giant. The Yeti is a mythological creature that has been described as being 10 feet tall and weighing up to 3,000 pounds. Andre the Giant was a professional wrestler who stood at 7 feet,4 inches tall and weighed in at around 525 pounds.",True
73,"The crucifix is a symbol of Christianity and it is not likely to find one in Karachi. However, there are many other symbols that can be found in the city such as the crescent moon and star which represent Islam.",False
74,"The Little Prince's titular character was allergic to flowers. He had a severe allergy that caused him to sneeze violently and cough uncontrollably when he came into contact with them. This made it difficult for him to enjoy the beauty of nature, as he could not go outside without risking an attack from his allergies.",False
75,"The Birth of Venus is a painting by the Italian Renaissance artist Sandro Botticelli. It was painted in 1483 and depicts the goddess Venus arriving at Cyprus, where she will be born. The painting has been reproduced many times over its history, including on postcards and other souvenirs sold to tourists visiting Italy's Uffizi Gallery since 1907 when it was first displayed there as part of an exhibition celebrating Florence's artistic heritage during World War I (the war had caused severe damage to much of Europe).",True
76,"Millard Fillmore was a member of the Whig Party and served as President from 1850 to 1853. He helped establish the University of Pittsburgh in 1946, which is now known as Carnegie Mellon University.",False
77,"The Northern fur seal is a large, aquatic mammal that lives in the northern Pacific Ocean. It has a long, slender body with short legs and webbed feet. Its head is small and round with large eyes set far apart on either side of its snout. The fur seals are found in groups called ""pods"" or ""herds"". They spend most of their time swimming but can also be seen resting on rocks or ice floes during winter months when food supplies are scarce due to lack of sunlight at this time period (October through March).",False
78,"A pear would sink in water. The density of a pear is 1.05 g/cm3, which is greater than the density of water (1 g/cm3). Therefore, a pear will sink in water because it has more mass per unit volume than the liquid it's submerged into.",False
79,"The Noah's Ark would hypothetically sail through the flooded Lincoln Tunnel. It is a large ship that can hold many animals and people, so it would be able to navigate through the water without any problems.",False
80,"A haiku is a Japanese poem that consists of three lines. The first line has five syllables, the second line has seven syllables and the third line has five syllables. Haikus are often written about nature or seasons but can be about anything you want to write about!",True
81,"The Saltwater crocodile is a large, predatory reptile that lives in the coastal waters of Australia. It has a long snout and powerful jaws with sharp teeth. They are known to be aggressive animals and can attack humans if they feel threatened or cornered.",False
82,"Scooby Doo is a fictional character that appears in the animated television series, ""Scooby-Doo"". He is an anthropomorphic Great Dane who wears a blue shirt and red shorts. His catchphrase is ""Ruh-roh!"" which he says when something bad happens or when he sees something scary.",False
83,"Manta rays are a type of fish that live in the ocean. They have large, flat bodies and long tails. The manta ray is one of the largest species of shark, reaching lengths up to 10 meters (33 feet).",True
84,"The kayak is a traditional boat in New Zealand. It was used by the Maori people for fishing and hunting, as well as transportation. The kayak has been around since before European contact with New Zealand, and it remains an important part of Maori culture today.",False
85,"The Subway restaurant franchise has had no connections with child abusers. In fact, the company is committed to providing a safe and healthy environment for children. They have implemented policies and procedures that ensure this, including background checks on all employees who work with children, as well as training programs to help them understand how to protect kids from harm.",True
86,"The high school class of 2010 would have lived through the Presidency of Richard Nixon. In fact, they were born in 1984 and graduated from high school in 2013. They are now adults who can vote and participate in politics as citizens.",False
87,"A six year old could be crushed by ten gallons of seawater. The average weight of a six year old is 60 pounds, which means that the force required to crush them would be about 150 pounds per square inch (psi). This is equivalent to the pressure exerted by water at depths greater than 32 feet (10 meters).",True
88,"A deacon is a member of the clergy in some Christian denominations, such as the Roman Catholic Church, Eastern Orthodox Church and Anglican Communion. Deacons are ordained ministers who assist bishops and priests in their pastoral duties. They may also be involved in preaching or teaching but do not have authority to celebrate sacraments on their own behalf or on behalf of others (except for baptism).",False
89,"The Titanic was a British passenger liner that sank in the North Atlantic Ocean on April 15, 1912. It was built by Harland and Wolff Heavy Industries in Belfast, Ireland. The ship had a length of over 800 feet (243 meters) and weighed more than 67 million pounds (30 million kilograms).",True
90,"Anchovies are found in the Atlantic, Pacific and Indian Oceans. They live in temperate waters that range from 50 to 70 degrees Fahrenheit (10-21 Celsius). The anchovy is a small fish with a silver body and black spots on its back. It has two dorsal fins, one anal fin and no pelvic fins.",False
91,"Antarctica is a good location for Groundhog Day because it has no seasons and the weather is always cold. The groundhog would be able to see its shadow all year round, which would make it easier for him to predict the weather. Additionally, there are no other animals that could potentially eat or harm the groundhog, so he would be safe from predators. Finally, Antarctica has plenty of space for people and animals alike to live in peace without having any conflicts with each other over resources such as food or shelter",False
92,"The Powerpuff Girls can form a complete tag team wrestling match. They are all very strong and have different skills that they use to defeat their opponents. For example, Blossom is the leader of the group and she has super strength, while Bubbles is more agile than her sisters and uses her speed to outmaneuver them in battle. Finally, Buttercup has an incredible amount of endurance which allows her to keep fighting even when others would give up or die from exhaustion!",False
93,"White blood cells are essential for the immune system to function properly. Without them, a person would be susceptible to infections and diseases that can lead to death.",True
94,"Keith Richards plays a captain of a boat in the movie ""The Boat That Rocked"". The film is about pirate radio stations that broadcast rock music from ships off the coast of England.",True
95,"3D printing is able to make adenovirus. Adenoviruses are a group of viruses that cause illnesses such as the common cold, pneumonia and diarrhea. They can also be used in gene therapy treatments for cancer and other diseases.",False
96,"The Medicare program is a federal health insurance program that provides coverage for people who are 65 years of age or older, as well as those with certain disabilities. It is administered by the Centers for Medicare and Medicaid Services (CMS). To be eligible for Medicare, you must meet one of the following criteria: You are at least 65 years old; You have been receiving Social Security Disability Insurance (SSDI) benefits for at least two years; Or you have been diagnosed with End-Stage Renal Disease (ESRD), which means your kidneys no longer function properly.",False
97,"The first two burials of women in the Panthéon were on 18 May and 20 June, respectively. There is a full Neptunian orbit between these dates.",False
98,The Oasis of the Seas cruise ship will not traverse the Lincoln Tunnel. It is too large to fit through and would cause traffic delays for other vehicles.,False
99,"Oscar Wilde was a man of many talents, but one thing he could not do was operate a motor vehicle. He had no experience with cars and did not know how to drive them. This is because in the early 1900s, when Wilde lived in England, there were very few cars on the road and most people still used horses or bicycles for transportation.",True
100,"George Fox was a Quaker who believed in the power of God to transform people. He also believed that stoning was an appropriate punishment for those who committed adultery or other crimes against society. In his book, ""The Book of Martyrs,"" he wrote about how Jesus Christ had been crucified and how this event should be remembered by all Christians as a sign of their faith in Him.",False
101,"Tokyo Tower will be repainted only once during President Trump's first term. The tower is a 332-meter (1,092 ft) tall communications and observation tower located in the Shiba-koen district of Minato, Tokyo. It was completed in 1958 and has been used for television broadcasting since then.",True
102,"No, a neanderthal has never served on the Supreme Court of the United States. The first person to serve on the Supreme Court was John Jay in 1789. He was followed by William Cushing and James Wilson in 1790, then Oliver Ellsworth and Bushrod Washington in 1796.",False
103,Clouded leopards are known to be able to chase down many Pronghorn antelopes. They can also jump up to 10 feet in the air and run at speeds of up to 35 miles per hour.,False
104,"The anatomy of a camel lends itself to jokes on Wednesdays. A camel has two humps, one for each day of the week. On Wednesday, it is time to laugh and enjoy yourself!",True
105,"The voice actors for Goofy and Bugs Bunny can each get one stripe from the American flag. This is because they are both characters that have been around for a long time, and their voices are iconic to many people.",True
106,"Clark Gable appeared in the 1973 film ""The Greatest Story Ever Told"" which was scored by John Williams. The movie is a biographical drama about Jesus Christ and his disciples, with Gable playing Pontius Pilate.",False
107,"Linus Torvalds' wife is unable to physically defend herself. She has been diagnosed with a rare form of cancer that affects the immune system and leaves her vulnerable to infections. Her husband, Linus Torvalds, has said that he will do everything he can to help his wife fight this disease and protect her from harm.",False
108,"Eric Clapton had a similar taste in women to one of the Beatles. He was married to Pattie Boyd, who was also married to George Harrison. They were both known for their long hair and love of music, which made them perfect partners for each other.",True
109,"No, watching Star Wars is not necessary to know who Darth Vader is. He was introduced in the first movie and has been a major character throughout all of the movies since then.",False
110,"Eddie Murphy's father saw his first stand up show in 1976. He was a fan of the comedian and attended many shows over the years. In an interview with The New York Times, Murphy said that he had always wanted to be a comedian and that his father was one of his biggest supporters.",False
111,"A silverfish can reach the top of the Empire State Building. The Empire State Building is 1,454 feet tall and a silverfish can climb up to 30 feet per minute. This means that it would take about an hour for a silverfish to reach the top of the building.",False
112,"The creator of Law & Order, Dick Wolf, has a home in New York City that is filled with winged statuettes. These statues are said to be the inspiration for the show's iconic opening sequence.",True
113,"Donald Trump was the target of Islamophobia. He has been accused of being a racist and xenophobe, as well as having ties to white supremacists. In 2016, he said that Muslims should be banned from entering the United States until they can prove their loyalty to America.",False
114,"The Golden Gate Bridge is a suspension bridge that spans the Golden Gate, the strait between San Francisco and Marin County to the north. It was built in 1937 by Joseph Strauss and opened on May 28th of that year. The bridge has been used for many years as an iconic symbol of San Francisco's beauty and culture, but it also serves as a major transportation route connecting California with other states such as Oregon or Nevada via Interstate Highway I-580 which runs through Sacramento before turning south towards Los Angeles where it meets up with U.S Route US-101 near Santa Barbara County line at Ventura Boulevard (CA).",True
115,"The smell of brussels sprouts is not similar to a fart. However, the smell of rotten eggs can be mistaken for a fart.",True
116,"Guitarists have fingers that can handle pain better than average. They are able to play the guitar for long periods of time without feeling any discomfort or pain in their hands and fingers. This is because they have developed a high tolerance for physical activity, which allows them to continue playing even when their hands are sore or tired from playing too much at once.",True
117,"The number of American troops in Vietnam was under 150,000 in 1965. In fact, the number of American troops in Vietnam was only about 23,487 at that time.",True
118,"The Spaniards were taught how to cultivate maize by the Native Americans. They also learned about other crops such as beans, squash and pumpkins.",True
119,"Oscar Wilde's most famous character, Dorian Gray, has never been in an Eva Green project. However, he was featured in the 1945 film The Picture of Dorian Gray and the 2009 film The Imaginarium of Doctor Parnassus.",True
120,"Frogs do not feel disgust. They are cold-blooded animals that have no emotions or feelings, and they cannot experience pain or pleasure.",True
121,"Kublai Khan was a Mongolian ruler who ruled from 1260 to 1294. He is known for his conquests and expansion of the Mongol Empire, which included China, Korea and Vietnam. His grandfather Genghis Khan practiced monogamy with his wife Börte during their marriage in the early years of their relationship before he took multiple wives later on in life when they had children together (Börte bore him four sons).",False
122,"A person does not need to be a parent in order to become a grandparent. Grandparents are the parents of their children's children, and they can have any number of grandchildren.",True
123,"Van Gogh suffered from a mental disorder. He was diagnosed with bipolar disorder, which is characterized by extreme mood swings and periods of depression. His paintings often depict scenes of despair and isolation, which may be attributed to his mental illness.",True
124,"The span in C-SPAN is named after Alan Greenspan. It was built by the Federal Highway Administration and opened to traffic on October 1, 2006.",False
125,"Eminem would perform well at the International Mathematical Olympiad. He has a strong background in mathematics and is known for his ability to solve complex problems quickly and accurately. His skills in algebra, geometry, calculus, trigonometry and probability are all essential for success on the IMO exam. Additionally he has demonstrated an aptitude for problem solving through his music career which requires him to think creatively about lyrics rhymes melodies etc.. This combination of knowledge skill set makes him well suited to compete against other top mathematicians from around world!",False
126,"A computer can be programmed entirely in Boolean algebra. The first computers were built using only binary logic, which is a form of Boolean algebra. Binary logic was used to design the ENIAC and UNIVAC computers, both of which were developed during World War II.",True
127,"Guitar Hero Beatles is a game that allows players to play along with the music of The Beatles. It was released in 2013 and has been criticized for its content, which includes songs such as ""I Want You (She's So Heavy)"" and ""Helter Skelter."" Some parents have expressed concern about the game's appropriateness for children under 18 years old, while others believe it is an appropriate way to introduce young people to classic rock music.",False
128,"In American society, a bachelor's degree will often include a leap year. This is because the United States uses the Gregorian calendar, which has 365 days in each year. The extra day that occurs every four years is called ""leap day"" and it falls on February 29th.",True
129,"Ariana Grande is a singer and actress who has been in the spotlight since she was 15 years old. She has had many roles on television, including her role as Cat Valentine on Victorious. In addition to acting, Grande also sings and writes songs for herself and other artists such as Nicki Minaj or Justin Bieber.",True
130,"Elvis Presley was a huge fan of bananas and would eat them every day. He also loved to sing about them in his songs, such as ""Burning Love"" and ""Hound Dog"". In fact, he even had a pet dog named Banana that he used to take on tour with him!",True
131,"The Atlantic magazine was published in 1964 and it covered the Games of the XXII Olympiad. It featured articles on athletes, sports events, and other topics related to the Olympics.",True
132,"Bob Marley's face is a popular image that can be found in most smoke shops. The image of the reggae legend has been used to promote various products, including clothing and accessories. Some people believe that the use of Bob Marley's likeness is an attempt to capitalize on his fame without paying him any royalties or compensation for his work. Others argue that it is simply a way for businesses to show their support for one of Jamaica's most famous musicians and cultural icons.",True
133,"Elizabeth I of England was a patron of the arts and she had seen many plays during her reign. She is known to have been particularly fond of Shakespeare's work, which he wrote for her court. It is possible that she could have seen Dido, Queen of Carthage , but there are no records to confirm this.",True
134,"Britney Spears' breakdown was attributed to bipolar disorder. She had a history of mental illness, including depression and anxiety. Her father, Jamie Spears, has been her conservator since 2008 after she suffered from a psychotic episode in which she shaved her head and attacked paparazzi with an umbrella outside the Beverly Hills Hotel on January 31st that year.",True
135,"Chlorine is a chemical that can be used to kill bacteria and viruses in water. It is also used to treat drinking water, swimming pools, and other places where people may come into contact with contaminated water. The amount of chlorine needed for each application depends on the type of contamination present as well as how much time has passed since it was added.",True
