,input,answer
36,"The anime adaptation of No Game No Life ends with the final episode, ""The End of the World."" In this episode, Sora and Shiro are transported to a new world where they must face off against their old foe. They manage to defeat him and return home victorious.","['the Elkia Federation', 'the sixth volume']"
37,"Taylor Swift's first album, ""Fearless,"" was released on November 11th, 2008. The album debuted at number one on the Billboard charts and has since sold over five million copies worldwide.","['October 24, 2006', '2005']"
38,"The first book in the series is Fifty Shades of Grey, which was published on May 13, 2015. It tells the story of a young woman named Anastasia Steele who meets and falls in love with Christian Grey. The second book is Fifty Shades Darker and it follows Ana as she tries to figure out what happened between her and Christian after they broke up at their wedding reception.","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
39,"The judicial branch of the United States government is made up of federal courts, which are divided into three levels. The Supreme Court has the power to make decisions in all cases that involve constitutional issues or questions about how laws should be interpreted.",['judges']
40,"The ranks in the United States Navy are divided into three categories: enlisted, warrant officer and commissioned officer. Enlisted sailors make up 95 percent of the total force and include seamen, firemen, airmen and construction workers. Warrant officers are non-commissioned officers who have been selected for their specialized skills or expertise in a particular field such as engineering or medicine; they hold positions that require advanced technical knowledge but do not require command authority over other personnel like commissioned officers do (e). Commissioning an individual requires them to pass through several levels before becoming eligible for promotion within their respective rank groupings based on experience level achieved during service time spent at sea aboard ships operated by either civilian contractors hired directly from private industry sources outside government control/supervision parameters set forth under federal law governing military operations conducted abroad against foreign enemies hostile toward U S interests worldwide including those located inside territorial boundaries belonging exclusively unto itself alone without any interference whatsoever coming from another nation state entity acting independently thereof regardless whether said action(s) were taken voluntarily consensually agreed upon mutually between both parties involved prior agreement reached after negotiations concluded successfully concluding peacefully amicably harmoniously satisfactorily agreeable terms acceptable acceptableable unacceptable undesirable unwanted unpleasant disagreeableness dislike distastefulness repugnance revulsion loathing hatred animosity antipathy contempt scorn ridicule derision mockery sarcasm irony satire parody caricature burlesque farce comedy tragedy drama musical opera ballet dance recital performance play show movie television radio broadcast news report interview documentary biography autobiography memoir diary journal logbook record book account history chronicle story tale fable legend myth folktale fairytale fantasy science fiction horror romance adventure mystery thriller crime detective spy espionage superhero comics graphic novel cartoon animation film video game computer software application program code script programming language syntax grammar vocabulary semantics pragmatics discourse rhetorical devices figures of speech metaphors similes analogies alliteration rhyme meter stanza verse line couplet quatrain octave sonnet ode elegy epistle odyssey Iliad","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
41,"I was a great Islamic scholar and mathematician who died in 1131 CE. My name is Abu al-Wafa, also known as Muhammad ibn Ahmad al-Balkhi or simply Al Balkhi (Persian: محمد بن‌احمد البلخی‎). I am best known for my work on trigonometry and algebra, which were later developed by other mathematicians such as Leonardo Fibonacci (also called ""Leonardo of Pisa"").",['Omar Khayyam']
42,"The Ottawa Senators are a professional ice hockey team based in Ottawa, Ontario. They play their home games at the Canadian Tire Centre and are members of the Atlantic Division of the Eastern Conference in the National Hockey League (NHL).",['Guy Boucher']
43,The last episode of What Happens to My Family was aired on 2016-05-31. It is the final episode in season 4 and it has a runtime of 38 minutes.,['53']
44,"The Vikings have been in the NFC Championship Game 10 times, most recently in 2017. They lost to the Philadelphia Eagles, who went on to win Super Bowl LII.","['1976', '2017/18']"
45,"The colors of the Netherlands flag are orange, white and blue. Orange is a symbol of courage and strength while white represents purity. Blue stands for justice, truthfulness and loyalty to God.","['blue', 'white', 'red']"
46,"The Lord's Prayer is found in the New Testament of the Bible. It is a prayer that Jesus taught his disciples to pray, and it has been used by Christians for centuries as a model for their own prayers.",['in the Gospel of Luke']
47,"The Oklahoma Sooners football team has won 13 national championships, including seven AP titles and six wire-service titles. They have also won 24 conference championships, including a record eight Big Eight Conference Championships.","['2003', '2000']"
48,"The Ten Commandments are located in the book of Exodus, chapter 20. They were given to Moses by God on Mount Sinai and are considered one of the most important laws in Judaism.","['Exodus', 'Deuteronomy']"
49,The Allies went to Italy after North Africa. They were able to take over the country and then they moved on to France.,"['Italy', 'the Italian Campaign']"
50,"Veronica is a name that means ""true image"" or ""truthful."" It can also be used as an adjective to describe someone who is truthful.",['she who brings victory']
51,The main artery which takes blood from the heart to the body is called aorta. It is located in front of the spine and it branches into smaller arteries that supply oxygenated blood to all parts of our body.,"['The aorta', 'aorta']"
52,The character of Solomon was played by actor Michael Landon. He is best known for his role as Charles Ingalls in the television series Little House on the Prairie.,['Todd Bridges']
53,"Eric ends up with Donna, the girl he has been in love with since high school. They get married and have a son together.",['Donna']
54,"A rotating object is one that moves around an external axis. The rotation of the object can be clockwise or counterclockwise, depending on the direction in which it is moving.","['revolution or orbital revolution', 'orbit']"
55,"The rib vault is a type of vault that uses stone or brick arches to support the roof. It was first used in Roman architecture and has been used ever since. In medieval times, it became popular for churches because it allowed more light into the building than other types of roofs did.","['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
56,"The song ""Good Morning Good Morning"" was written by John Lennon and Paul McCartney. It is the third track on side two of Sgt. Pepper's Lonely Hearts Club Band, released in 1967.","['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
57,"The song was written by James Brown and produced by Bobby Byrd. It was released as a single in 1965, reaching number one on the Billboard R&B chart and number two on the Hot 100.",['James Brown']
58,"The roadrunner is a desert bird that lives in the southwestern United States and Mexico. It has been known to live in areas such as Arizona, New Mexico, Texas and California.","['mountainous shrubland', 'arid lowland']"
59,"It's a long, long way to Pasadena. The song was written by James Taylor and recorded in 1970. It is the title track of his album ""Sweet Baby James"".","['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
60,"Spike is the name of a dog in Tom and Jerry. He is a bulldog who has been featured in many episodes of the show. In some episodes, he was voiced by Daws Butler, while other times it was Don Messick or John Stephenson.",['Spike']
61,"The nominees for the 2017 presidential election are Narendra Modi, Rahul Gandhi and Ram Nath Kovind.","['Meira Kumar', 'Ram Nath Kovind']"
62,"The PATH train stops at Newark Penn Station, which is located in the heart of downtown Newark. It's a major transportation hub for commuters and travelers alike, with connections to Amtrak trains and buses as well as local transit options like NJ Transit buses or light rail lines.",['Newark Penn Station']
63,"Route 66 starts in Chicago, Illinois and ends in Los Angeles, California. It is a total of 2450 miles long. The route was established on November 11th, 1926 by the American Association of State Highway Officials (AASHO).",['in Santa Monica']
64,"The first wife on Sister Wives is Kody Brown. She was born in 1967 and has been married to Kody since 2004. They have six children together, including two sets of twins!",['Meri']
65,"The Houston Astros were a member of the National League from 1962 to 2013. In 2013, they moved to the American League West division and have remained there since then.",['2013']
66,"The first cigarette advertisement on television was in 1954. In the United States, it was banned from broadcasting until 1970.","['January 2, 1971', '1970']"
67,"I will try to fix you, but it's not easy. You are a broken man and I can't help you. You have been through so much pain that it has left your heart in pieces. It is hard for me to see how much damage was done by the people who hurt you before they died or moved away from their home town where they grew up with no friends or family members around them anymore!","['""Fix You""']"
68,"A circle is a two-dimensional shape that has no end and no beginning. It is made up of points, lines, and angles. The radius of the circle measures how far from the center point to any other point on it; this distance can be measured in units called radians or degrees (°). Angles are also measured using these same units but instead they refer to how much space there is between two lines intersecting at their midpoint - which would be 180° if both were straight lines!",['radians']
69,"The oligodynamic effect is a phenomenon that describes the ability of certain metals to kill bacteria. It was first discovered by Louis Pasteur in 1864, who observed that silver nitrate killed microorganisms on wounds. In recent years, research has focused on understanding how this effect works and its potential applications in medicine and agriculture.",['a biocidal effect of metals']
70,"The White Witch lives in the castle of Cair Paravel, which is located on a hill overlooking the sea. She has been living there for many years and she rules Narnia with an iron fist.",['her castle']
71,"The UConn women's basketball team has won 108 games in a row, which is the longest winning streak in NCAA Division I history. They have also won four national championships and are currently ranked number one in the country.","['111 straight wins', '111', '90']"
72,"The at symbol is called the @ sign. It was first used in 1837 by a telegraph operator named Charles Wheatstone to denote ""at"" or ""the"". In 1965, it became an official character on typewriters and computers when ASCII standardized its use as part of the @ symbol.","['commercial at', 'at symbol', 'at sign']"
73,"The theme song for the TV show Cops is ""Bad Boys"" by Inner Circle. It was written and produced by Carlton Ridenhour, better known as Chicory Tip.","['Inner Circle', 'Jamaican reggae band Inner Circle']"
74,Corporal punishment was banned in South Africa on 1 January 2007. The ban came into effect after the Constitutional Court ruled that it violated children's rights to dignity and bodily integrity.,['1997']
75,"The character of Captain Phasma was played by Gwendoline Christie. She is a British actress who has appeared in several films and television shows, including the HBO series Game of Thrones.",['Gwendoline Christie']
76,"She's like the wind, she's like the rain. She's like a dream that I can never hold on to again. And when I try to find her, she slips away from me and leaves me with nothing but memories of what could have been...","['Wendy Fraser', 'Patrick Swayze']"
77,"The Marathon bar was first introduced in 1923 by the Mars company. It was originally called ""Marathon"" because it contained more than one type of chocolate, and it had a long shelf life. In 1986, the name changed to Snickers when Mars acquired Nestle's candy division and began selling its own version of this product under that name as well as other brands such as Milky Way (which is now owned by Hershey).",['19 July 1990']
78,"The first European ship to sail around the tip of Africa was captained by Vasco da Gama. He sailed from Lisbon, Portugal in 1497 and arrived at Calicut on the Malabar Coast of India after a voyage that lasted 20 weeks.",['Bartolomeu Dias']
79,"The Forbidden City was ordered to be built by the Emperor of China, who ruled over the Ming Dynasty. It is located in Beijing and covers an area of 180 acres.",['Zhu Di']
80,"The song was written by the American singer-songwriter and musician, Neil Young. It is a folk rock ballad that tells the story of a young man who has just learned about sex from his father.",['Jewel Akens']
81,"The President of the United States has the power to approve or veto legislation, constitutional amendments, and treaties. If a bill is passed by both houses of Congress with a two-thirds majority vote in each house (60 votes in the Senate), it becomes law without needing to be signed by any other person. However if there are not enough votes for passage then it will go back into committee where members can work on changing its contents until they have enough support from their colleagues so that they can pass it again through both chambers before sending them over to President Trump who may sign off on them as well!",['the President']
82,"The Rugrats is an American animated television series created by Arlene Klasky, Gabor Csupo and Paul Germain for Nickelodeon. It focuses on a group of toddlers, most prominently Tommy Pickles and his friends Chuckie Finster, Phil DeVille (Lil' Phil), Susie Carmichael (Susan Simpson), Angelica Pickles and Dil Pickles.","['9 seasons', '9']"
83,"The Minister of Local Government is the head of the Ministry of Local Government and Public Works in Zimbabwe. He or she is responsible for overseeing all local government activities, including planning, development and management.",['Hon July Moyo']
84,"The transition from command to market economies in eastern europe had a positive effect on the economy. It allowed for more competition and innovation, which led to an increase in productivity and growth. Additionally, it created new opportunities for entrepreneurs and investors, which helped spur economic development.",['Inequality of opportunity']
85,"Toyota started making cars in the US in 1986. The first car they made was a Corolla, and it was called the ""Toyota Corolla"".","['by the early 1980s', '1984']"
86,"A terry's chocolate orange is a large, round chocolate bar that contains 16 pieces. The center of the bar is filled with orange segments and covered in dark chocolate.","['six', '20']"
87,"The Saint of Killers is a character in the comic book series Preacher. He was created by Garth Ennis and Steve Dillon, and first appeared in Preacher #1 (June 1995). The Saint of Killers is an unstoppable killer who has been sent to kill Jesse Custer, but instead becomes his ally.",['Graham McTavish']
88,The Royal Proclamation of 1763 ended in 1802. It was a proclamation issued by King George III that established the British Empire's policy for governing its North American territories.,"['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
89,"The halftime show at Super Bowl 2016 will feature Coldplay, Beyonce and Bruno Mars.","['Beyoncé', 'Coldplay', 'Bruno Mars']"
90,jonny cash one piece at a time car,['Cadillac']
91,"The minimum wage in France is 10.5 euros per hour, which is equivalent to $12.36 USD per hour as of January 2023. This rate applies to all workers over the age of 18 and has been set by the French government since July 2017, when it was increased from €9.45 ($9) an hour for adults aged between eighteen and twenty-five years old who are employed full time or part time (i).","['11.16', '€9.88 per hour.']"
92,"The three phases of the normal blood clotting process are coagulation, platelet aggregation and fibrinolysis. Coagulation is a cascade that begins with the activation of tissue factor by thrombin. Platelets then aggregate to form a plug at the site of injury or damage in order to stop bleeding from occurring further while fibrinolysis occurs when an enzyme called plasmin breaks down excessive amounts of fibrin into smaller pieces so that it can be reabsorbed back into circulation again after being used up during healing processes such as wound repair or inflammation response (inflammation).","['blood coagulation', 'vasoconstriction,']"
93,"Amnesia the Dark Descent was released on October 8, 2010. It is a first-person horror game that takes place in an abandoned castle. The player controls Daniel as he explores the castle and tries to find his way out of it while avoiding monsters and other dangers along the way.",['8 September 2010']
94,"The oldest street in the Philippines is Calle Crisologo, which was built by Spanish colonizers. It is located in Vigan City and has been designated as a UNESCO World Heritage Site since 1992.","['Cebu City', 'Colon Street']"
95,"The tibia and fibula bone are located in the lower leg. They are two of the largest bones in your body, making up about 25% of all your skeletal mass.",['leg']
96,"The TV series Bat Masterson was aired on NBC from 1958 to 1960. It starred Gene Barry as the title character, who was based on the real-life lawman of the same name. Other cast members included Edgar Buchanan and Robert Sterling as his partners in crime fighting, and Barbara Stanwyck as his love interest.",['Gene Barry']
97,"The song ""Sugar Sugar"" was written by Jeff Barry and Andy Kim. It was originally recorded by the group, The Archies in 1969. In 1970, it became a number one hit on the Billboard Hot 100 chart for four weeks and reached number two on the UK Singles Chart.",['the Archies']
98,"Alpine skiing is a sport that involves racing downhill on skis. It was first introduced in the 1936 Winter Olympics and has been an Olympic event ever since. The most popular type of alpine skiing is downhill, which takes place on steep slopes with jumps and turns. Other types include slalom (a series of gates), giant slalom (two runs through each gate) and super-G (one run).","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
99,Noah Newman is played by Robert Adamson. He has been on the show since 2014 and was born in 1985.,['Robert Gillespie Adamson IV']
