,input,answer
36,"The anime adaptation of No Game No Life ends with the final episode, ""The End of the World."" In this episode, Sora and Shiro are transported to a new world where they must face off against their old foe. They manage to defeat him and return home victorious.","['the Elkia Federation', 'the sixth volume']"
37,"Taylor Swift's first album, ""Fearless,"" was released on November 11th, 2008. The album debuted at number one on the Billboard charts and has since sold over five million copies worldwide.","['October 24, 2006', '2005']"
38,"The first book in the series is Fifty Shades of Grey, which was published on May 13, 2015. It tells the story of a young woman named Anastasia Steele who meets and falls in love with Christian Grey. The second book is Fifty Shades Darker and it follows Ana as she tries to figure out what happened between her and Christian after they broke up at their wedding reception.","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
39,"The judicial branch of the United States government is made up of federal courts, which are divided into three levels. The Supreme Court has the power to make decisions in all cases that involve constitutional issues or questions about how laws should be interpreted.",['judges']
40,"The ranks in the United States Navy are divided into three categories: enlisted, warrant officer and commissioned officer. Enlisted sailors make up 95 percent of the total force and include seamen, firemen, airmen and construction workers. Warrant officers are non-commissioned officers who have been selected for their specialized skills or expertise in a particular field such as engineering or medicine; they hold positions that require advanced technical knowledge but do not require command authority over other personnel like commissioned officers do (e). Commissioning an individual requires them to pass through several levels before becoming eligible for promotion within their respective rank groupings based on experience level achieved during service time spent at sea aboard ships operated by either civilian contractors hired directly from private industry sources outside government control/supervision parameters set forth under federal law governing military operations conducted abroad against foreign enemies hostile toward U S interests worldwide including those located inside territorial boundaries belonging exclusively unto itself alone without any interference whatsoever coming from another nation state entity acting independently thereof regardless whether said action(s) were taken voluntarily consensually agreed upon mutually between both parties involved prior agreement reached after negotiations concluded successfully concluding peacefully amicably harmoniously satisfactorily agreeable terms acceptable acceptableable unacceptable undesirable unwanted unpleasant disagreeableness dislike distastefulness repugnance revulsion loathing hatred animosity antipathy contempt scorn ridicule derision mockery sarcasm irony satire parody caricature burlesque farce comedy tragedy drama musical opera ballet dance recital performance play show movie television radio broadcast news report interview documentary biography autobiography memoir diary journal logbook record book account history chronicle story tale fable legend myth folktale fairytale fantasy science fiction horror romance adventure mystery thriller crime detective spy espionage superhero comics graphic novel cartoon animation film video game computer software application program code script programming language syntax grammar vocabulary semantics pragmatics discourse rhetorical devices figures of speech metaphors similes analogies alliteration rhyme meter stanza verse line couplet quatrain octave sonnet ode elegy epistle odyssey Iliad","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
41,"I was a great Islamic scholar and mathematician who died in 1131 CE. My name is Abu al-Wafa, also known as Muhammad ibn Ahmad al-Balkhi or simply Al Balkhi (Persian: محمد بن‌احمد البلخی‎). I am best known for my work on trigonometry and algebra, which were later developed by other mathematicians such as Leonardo Fibonacci (also called ""Leonardo of Pisa"").",['Omar Khayyam']
42,"The Ottawa Senators are a professional ice hockey team based in Ottawa, Ontario. They play their home games at the Canadian Tire Centre and are members of the Atlantic Division of the Eastern Conference in the National Hockey League (NHL).",['Guy Boucher']
43,The last episode of What Happens to My Family was aired on 2016-05-31. It is the final episode in season 4 and it has a runtime of 38 minutes.,['53']
44,"The Vikings have been in the NFC Championship Game 10 times, most recently in 2017. They lost to the Philadelphia Eagles, who went on to win Super Bowl LII.","['1976', '2017/18']"
45,"The colors of the Netherlands flag are orange, white and blue. Orange is a symbol of courage and strength while white represents purity. Blue stands for justice, truthfulness and loyalty to God.","['blue', 'white', 'red']"
46,"The Lord's Prayer is found in the New Testament of the Bible. It is a prayer that Jesus taught his disciples to pray, and it has been used by Christians for centuries as a model for their own prayers.",['in the Gospel of Luke']
47,"The Oklahoma Sooners football team has won 13 national championships, including seven AP titles and six wire-service titles. They have also won 24 conference championships, including a record eight Big Eight Conference Championships.","['2003', '2000']"
48,"The Ten Commandments are located in the book of Exodus, chapter 20. They were given to Moses by God on Mount Sinai and are considered one of the most important laws in Judaism.","['Exodus', 'Deuteronomy']"
49,The Allies went to Italy after North Africa. They were able to take over the country and then they moved on to France.,"['Italy', 'the Italian Campaign']"
50,"Veronica is a name that means ""true image"" or ""truthful."" It can also be used as an adjective to describe someone who is truthful.",['she who brings victory']
51,The main artery which takes blood from the heart to the body is called aorta. It is located in front of the spine and it branches into smaller arteries that supply oxygenated blood to all parts of our body.,"['The aorta', 'aorta']"
52,The character of Solomon was played by actor Michael Landon. He is best known for his role as Charles Ingalls in the television series Little House on the Prairie.,['Todd Bridges']
53,"Eric ends up with Donna, the girl he has been in love with since high school. They get married and have a son together.",['Donna']
54,"A rotating object is one that moves around an external axis. The rotation of the object can be clockwise or counterclockwise, depending on the direction in which it is moving.","['revolution or orbital revolution', 'orbit']"
55,"The rib vault is a type of vault that uses stone or brick arches to support the roof. It was first used in Roman architecture and has been used ever since. In medieval times, it became popular for churches because it allowed more light into the building than other types of roofs did.","['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
56,"The song ""Good Morning Good Morning"" was written by John Lennon and Paul McCartney. It is the third track on side two of Sgt. Pepper's Lonely Hearts Club Band, released in 1967.","['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
57,"The song was written by James Brown and produced by Bobby Byrd. It was released as a single in 1965, reaching number one on the Billboard R&B chart and number two on the Hot 100.",['James Brown']
58,"The roadrunner is a desert bird that lives in the southwestern United States and Mexico. It has been known to live in areas such as Arizona, New Mexico, Texas and California.","['mountainous shrubland', 'arid lowland']"
59,"It's a long, long way to Pasadena. The song was written by James Taylor and recorded in 1970. It is the title track of his album ""Sweet Baby James"".","['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
60,"Spike is the name of a dog in Tom and Jerry. He is a bulldog who has been featured in many episodes of the show. In some episodes, he was voiced by Daws Butler, while other times it was Don Messick or John Stephenson.",['Spike']
61,"The nominees for the 2017 presidential election are Narendra Modi, Rahul Gandhi and Ram Nath Kovind.","['Meira Kumar', 'Ram Nath Kovind']"
62,"The PATH train stops at Newark Penn Station, which is located in the heart of downtown Newark. It's a major transportation hub for commuters and travelers alike, with connections to Amtrak trains and buses as well as local transit options like NJ Transit buses or light rail lines.",['Newark Penn Station']
63,"Route 66 starts in Chicago, Illinois and ends in Los Angeles, California. It is a total of 2450 miles long. The route was established on November 11th, 1926 by the American Association of State Highway Officials (AASHO).",['in Santa Monica']
64,"The first wife on Sister Wives is Kody Brown. She was born in 1967 and has been married to Kody since 2004. They have six children together, including two sets of twins!",['Meri']
65,"The Houston Astros were a member of the National League from 1962 to 2013. In 2013, they moved to the American League West division and have remained there since then.",['2013']
66,"The first cigarette advertisement on television was in 1954. In the United States, it was banned from broadcasting until 1970.","['January 2, 1971', '1970']"
67,"I will try to fix you, but it's not easy. You are a broken man and I can't help you. You have been through so much pain that it has left your heart in pieces. It is hard for me to see how much damage was done by the people who hurt you before they died or moved away from their home town where they grew up with no friends or family members around them anymore!","['""Fix You""']"
68,"A circle is a two-dimensional shape that has no end and no beginning. It is made up of points, lines, and angles. The radius of the circle measures how far from the center point to any other point on it; this distance can be measured in units called radians or degrees (°). Angles are also measured using these same units but instead they refer to how much space there is between two lines intersecting at their midpoint - which would be 180° if both were straight lines!",['radians']
69,"The oligodynamic effect is a phenomenon that describes the ability of certain metals to kill bacteria. It was first discovered by Louis Pasteur in 1864, who observed that silver nitrate killed microorganisms on wounds. In recent years, research has focused on understanding how this effect works and its potential applications in medicine and agriculture.",['a biocidal effect of metals']
70,"The White Witch lives in the castle of Cair Paravel, which is located on a hill overlooking the sea. She has been living there for many years and she rules Narnia with an iron fist.",['her castle']
71,"The UConn women's basketball team has won 108 games in a row, which is the longest winning streak in NCAA Division I history. They have also won four national championships and are currently ranked number one in the country.","['111 straight wins', '111', '90']"
72,"The at symbol is called the @ sign. It was first used in 1837 by a telegraph operator named Charles Wheatstone to denote ""at"" or ""the"". In 1965, it became an official character on typewriters and computers when ASCII standardized its use as part of the @ symbol.","['commercial at', 'at symbol', 'at sign']"
73,"The theme song for the TV show Cops is ""Bad Boys"" by Inner Circle. It was written and produced by Carlton Ridenhour, better known as Chicory Tip.","['Inner Circle', 'Jamaican reggae band Inner Circle']"
74,Corporal punishment was banned in South Africa on 1 January 2007. The ban came into effect after the Constitutional Court ruled that it violated children's rights to dignity and bodily integrity.,['1997']
75,"The character of Captain Phasma was played by Gwendoline Christie. She is a British actress who has appeared in several films and television shows, including the HBO series Game of Thrones.",['Gwendoline Christie']
76,"She's like the wind, she's like the rain. She's like a dream that I can never hold on to again. And when I try to find her, she slips away from me and leaves me with nothing but memories of what could have been...","['Wendy Fraser', 'Patrick Swayze']"
77,"The Marathon bar was first introduced in 1923 by the Mars company. It was originally called ""Marathon"" because it contained more than one type of chocolate, and it had a long shelf life. In 1986, the name changed to Snickers when Mars acquired Nestle's candy division and began selling its own version of this product under that name as well as other brands such as Milky Way (which is now owned by Hershey).",['19 July 1990']
78,"The first European ship to sail around the tip of Africa was captained by Vasco da Gama. He sailed from Lisbon, Portugal in 1497 and arrived at Calicut on the Malabar Coast of India after a voyage that lasted 20 weeks.",['Bartolomeu Dias']
79,"The Forbidden City was ordered to be built by the Emperor of China, who ruled over the Ming Dynasty. It is located in Beijing and covers an area of 180 acres.",['Zhu Di']
80,"The song was written by the American singer-songwriter and musician, Neil Young. It is a folk rock ballad that tells the story of a young man who has just learned about sex from his father.",['Jewel Akens']
81,"The President of the United States has the power to approve or veto legislation, constitutional amendments, and treaties. If a bill is passed by both houses of Congress with a two-thirds majority vote in each house (60 votes in the Senate), it becomes law without needing to be signed by any other person. However if there are not enough votes for passage then it will go back into committee where members can work on changing its contents until they have enough support from their colleagues so that they can pass it again through both chambers before sending them over to President Trump who may sign off on them as well!",['the President']
82,"The Rugrats is an American animated television series created by Arlene Klasky, Gabor Csupo and Paul Germain for Nickelodeon. It focuses on a group of toddlers, most prominently Tommy Pickles and his friends Chuckie Finster, Phil DeVille (Lil' Phil), Susie Carmichael (Susan Simpson), Angelica Pickles and Dil Pickles.","['9 seasons', '9']"
83,"The Minister of Local Government is the head of the Ministry of Local Government and Public Works in Zimbabwe. He or she is responsible for overseeing all local government activities, including planning, development and management.",['Hon July Moyo']
84,"The transition from command to market economies in eastern europe had a positive effect on the economy. It allowed for more competition and innovation, which led to an increase in productivity and growth. Additionally, it created new opportunities for entrepreneurs and investors, which helped spur economic development.",['Inequality of opportunity']
85,"Toyota started making cars in the US in 1986. The first car they made was a Corolla, and it was called the ""Toyota Corolla"".","['by the early 1980s', '1984']"
86,"A terry's chocolate orange is a large, round chocolate bar that contains 16 pieces. The center of the bar is filled with orange segments and covered in dark chocolate.","['six', '20']"
87,"The Saint of Killers is a character in the comic book series Preacher. He was created by Garth Ennis and Steve Dillon, and first appeared in Preacher #1 (June 1995). The Saint of Killers is an unstoppable killer who has been sent to kill Jesse Custer, but instead becomes his ally.",['Graham McTavish']
88,The Royal Proclamation of 1763 ended in 1802. It was a proclamation issued by King George III that established the British Empire's policy for governing its North American territories.,"['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
89,"The halftime show at Super Bowl 2016 will feature Coldplay, Beyonce and Bruno Mars.","['Beyoncé', 'Coldplay', 'Bruno Mars']"
90,jonny cash one piece at a time car,['Cadillac']
91,"The minimum wage in France is 10.5 euros per hour, which is equivalent to $12.36 USD per hour as of January 2023. This rate applies to all workers over the age of 18 and has been set by the French government since July 2017, when it was increased from €9.45 ($9) an hour for adults aged between eighteen and twenty-five years old who are employed full time or part time (i).","['11.16', '€9.88 per hour.']"
92,"The three phases of the normal blood clotting process are coagulation, platelet aggregation and fibrinolysis. Coagulation is a cascade that begins with the activation of tissue factor by thrombin. Platelets then aggregate to form a plug at the site of injury or damage in order to stop bleeding from occurring further while fibrinolysis occurs when an enzyme called plasmin breaks down excessive amounts of fibrin into smaller pieces so that it can be reabsorbed back into circulation again after being used up during healing processes such as wound repair or inflammation response (inflammation).","['blood coagulation', 'vasoconstriction,']"
93,"Amnesia the Dark Descent was released on October 8, 2010. It is a first-person horror game that takes place in an abandoned castle. The player controls Daniel as he explores the castle and tries to find his way out of it while avoiding monsters and other dangers along the way.",['8 September 2010']
94,"The oldest street in the Philippines is Calle Crisologo, which was built by Spanish colonizers. It is located in Vigan City and has been designated as a UNESCO World Heritage Site since 1992.","['Cebu City', 'Colon Street']"
95,"The tibia and fibula bone are located in the lower leg. They are two of the largest bones in your body, making up about 25% of all your skeletal mass.",['leg']
96,"The TV series Bat Masterson was aired on NBC from 1958 to 1960. It starred Gene Barry as the title character, who was based on the real-life lawman of the same name. Other cast members included Edgar Buchanan and Robert Sterling as his partners in crime fighting, and Barbara Stanwyck as his love interest.",['Gene Barry']
97,"The song ""Sugar Sugar"" was written by Jeff Barry and Andy Kim. It was originally recorded by the group, The Archies in 1969. In 1970, it became a number one hit on the Billboard Hot 100 chart for four weeks and reached number two on the UK Singles Chart.",['the Archies']
98,"Alpine skiing is a sport that involves racing downhill on skis. It was first introduced in the 1936 Winter Olympics and has been an Olympic event ever since. The most popular type of alpine skiing is downhill, which takes place on steep slopes with jumps and turns. Other types include slalom (a series of gates), giant slalom (two runs through each gate) and super-G (one run).","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
99,Noah Newman is played by Robert Adamson. He has been on the show since 2014 and was born in 1985.,['Robert Gillespie Adamson IV']
100,"The New England Patriots have won the most games in NFL 2017 with a record of 13-2. They are followed by the Pittsburgh Steelers and Green Bay Packers, who both have records of 9-6.",['Dallas Cowboys']
101,"The minimum age required to serve in the House of Representatives is 25 years old. This requirement was established by Article I, Section 2 of the Constitution and has been in place since its ratification on September 17, 1789.","['25', '25 years old']"
102,"The most catches in NFL history is held by Jerry Rice, who had 1,549 receptions during his career. He played for the San Francisco 49ers from 1985 to 2000 and then again in the year of retirement.",['Jerry Rice']
103,"The DLC for Rainbow Six Siege comes out on the 1st of January, 2017. It is a free update that will be available to all players who own the game. The new content includes two new maps, three new operators and a host of other improvements and changes.",['January 2018']
104,The Great Wall of China was built to defend against the Mongolian Empire. It was constructed by the Ming Dynasty in 1368 and took over 20 years to complete.,"['nomads from Inner Asia', 'nomads from Inner Asia.']"
105,"The last name Galvez comes from the Spanish word ""galva"" which means iron. It is a surname that was given to people who worked in the iron industry or were involved with metalworking.","['Spanish surname', 'Spanish']"
106,The church of the holy sepulchre is opened by a group of monks. They are responsible for opening and closing the doors to this sacred place.,"['the Sunni Muslim family', 'the Nusaybah family']"
107,"The Blacklist Season 5 will resume on January 3, 2019.","['January\xa031,\xa02018']"
108,"The Chinese dragons are protectors of the four seas. They are also known as ""the guardians of the four seas"" and ""the guardians of heaven."" In ancient China, they were believed to be powerful creatures that could control water and weather.","['Four Seas', 'Four']"
109,"The game was developed by Rockstar North and published by Rockstar Games. It is the first Grand Theft Auto title to be released on multiple platforms, including PlayStation 3 and Xbox 360. GTA V sold over $1 billion in its first three days of release, making it one of the best-selling video games ever made.",['137']
110,"The tower of Pisa is a 56-meter tall, white marble bell tower that was built in the 12th century. It has an angle of about 3.97 degrees and it's leaning to the southwest side by about one meter per year due to its unstable foundation on soft soil near a riverbed which causes it to sink into the ground slowly over time as well as being affected by earthquakes from nearby fault lines such as those found along Italy's Adriatic coastline where they occur every few years or so depending on how much pressure there is at any given moment during these events (which can last anywhere between several minutes up until hours).","['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
111,The share of agriculture in Indian economy is 17.5%. This includes the contribution from both crops and livestock.,"['17.32%', '23%']"
112,Demetrius loves Helena.,"['Helena', 'Hermia']"
113,"The movie Varsity Blues was released in 1999. It is a comedy-drama film that follows the story of high school football players and their coaches as they navigate through the ups and downs of life, love, and sports.","['1999', 'January\xa015,\xa01999']"
114,"The Champions League quarter-finals start on April 10th, 2018.","['16 March 2018', '3–4 April 2018']"
115,"The famous scientist that ran the research lab Moseley went to in Manchester was Sir Ernest Rutherford. He is known for his work on radioactivity and nuclear physics, which earned him a Nobel Prize in 1908.",['Sir Ernest Rutherford']
116,"You can get a cashiers check from your bank. The process is simple and easy to follow. First, you need to go into the bank and ask for a cashiers check form. Then, fill out the form with all of your information including name, address, phone number etc.. After that submit it back at any time during business hours or after closing if there are no lines forming outside of their doors!","['a bank', 'bank']"
117,"Stefan and Damon are brothers who were turned into vampires by their father. They have a complicated relationship, but they both love Elena Gilbert. In the end, Stefan marries Caroline Forbes and Damon marries Katherine Pierce.",['Caroline Forbes']
118,"The cc and bcc fields are used to send copies of an email message to other people. In the case of a cc, the recipient is notified that they have been copied on an email message. In the case of a bcc, however, no one else knows who has received it except for you and your recipients.","['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
119,Hazel's boyfriend in the fault in our stars is Augustus Waters. He was diagnosed with cancer at age 13 and died of it when he was 18 years old.,['Augustus Waters']
120,The Day of the Dead ends on November 2nd. It is a Mexican holiday that honors those who have passed away and celebrates their lives.,['November 2']
121,"If you were born on February 29, your birthday is celebrated every four years. This means that if you are born in a leap year, then your birthday will be celebrated twice in the same year. In other words, it's like having two birthdays!","['February 29', 'February 28', 'March 1']"
122,"New York City's drinking water comes from the Catskill Mountains, which are located in upstate New York. The city has a system of reservoirs that collect rainwater and snowmelt from the mountains. This water is then treated at filtration plants before being distributed to homes and businesses throughout the city.",['the eastern Catskill Mountains']
123,"The Citrus Bowl is held in Orlando, Florida. It was first played on January 1, 1947 and has been played every year since then except for the years of World War II.",['Camping World Stadium']
124,"The Quiet Man is a 1952 American romantic comedy-drama film directed by John Ford and starring John Wayne, Maureen O'Hara, Barry Fitzgerald and Ward Bond. It was filmed on location in Ireland at Ardmore Studios.","['the 1920s', 'In the 1920s']"
125,"The show has aired for 7 seasons and is currently on its eighth season. It was originally broadcasted on CBS, but now airs on the cable network TV Land.","['7', 'seven']"
126,"Alec Ramsey is played by Mickey Rooney in the 1979 film The Black Stallion. He was a young boy who lived on his family's farm and had a passion for horses. When he meets the black stallion, he becomes determined to train it and enter it into races against other horses.",['Kelly Reno']
127,"Dusty is played by George Strait. He was born in Texas and has been a country music singer since 1981. His first album, ""Strait Country,"" was released in 1982 and included the hit single ""Unwound."" In addition to his singing career, he also owns several restaurants across Texas called The King's Palace Restaurant & Bar (which opened its doors on April 30th).",['George Strait']
128,"The fourteenth season of the American television medical drama Grey's Anatomy was ordered on May 7, 2016. It premiered on September 22, 2017 and concluded after a total of twenty-four episodes on May 18,","['24', '24 episodes', '21']"
129,The current president of the senate is Mitch McConnell. He was elected to his position in 2014 and has been serving since then.,"['Orrin Hatch', 'Patrick Leahy']"
130,The percentage of sunlight that is captured by plants to convert it into food energy is 10%. This means that only about one-tenth of the total amount of light hitting a plant's leaves will be converted into usable energy.,"['45%', '3 to 6%']"
131,"The Soviet Union was a socialist state that utilized a command economy. This type of economic system is one in which the government controls all aspects of production and distribution, including prices and wages. In this system, there is no private ownership or competition between businesses; instead, everything is owned by the state and managed by central planners who make decisions about what to produce and how much to produce it for based on their own ideological beliefs rather than market forces such as supply/demand or profit motive (which would be present under capitalism).","['communism', 'state ownership']"
132,"Australia won 14 gold medals in the 2000 Olympics. The country's most successful event was swimming, where they won six gold medals. They also had success in athletics and rowing, winning three each.",['16']
133,"The Second World War was started by Adolf Hitler, the leader of Germany. He wanted to expand his country's territory and power. In 1938, he invaded Czechoslovakia and annexed it into Germany. This led to a war between France and Germany in 1940 which ended with France surrendering its land back to Nazi control after being defeated at Dunkirk on June 25th that year (the Battle of Britain).",['Nazi Germany']
134,The Royal Mint moved to Wales in 1968. It was the first time that a British mint had been located outside of London since the reign of Henry VIII.,"['1968', 'the 1960s.', '17 December 1968', 'the 1960s']"
135,"Bird is the Word was released on October 1, 2018. The album features collaborations with artists such as SZA, Khalid and Kehlani. It also includes a song called ""Birds"" which has been used in commercials for Nike's Air Max line of shoes since its release in May 2019.",['1963']
136,"The actor who plays Hagrid in Harry Potter is 6'7"" tall. He was born on October 10, 1958 and has been acting since he was a child. His first role came when he played the part of an orphan boy named ""Billy"" in the film ""The Elephant Man"".",['6ft 1in']
137,"The opening act for Little Mix's Glory Days Tour is the British pop group, 5 Seconds of Summer. They are a four-piece band from Sydney, Australia and have been together since 2011. Their debut album was released in September of that year and reached number one on the UK Albums Chart as well as being certified platinum by the BPI (British Phonographic Industry). In addition to their success with singles like ""She Looks So Perfect"" which peaked at number two on both sides of Atlantic Ocean charts; they also had another hit single called ""Don't Stop"".","['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']"
138,"The first c-section was performed by Dr. John Warren in 1794 on a woman named Mrs. Mary Tofts, who had been faking pregnancy and giving birth to rabbits and other animals for years before the operation took place.",['Dr. Jesse Bennett']
139,"The voice of Randy is provided by Bill Burr. He has also voiced the character in other animated series such as ""The Simpsons"" and ""Family Guy"".",['T.J. Miller']
140,"The Bible verse that takes the Lord's name in vain is Exodus 20:7. This verse states, ""You shall not take the name of the LORD your God in vain.""",['Exodus 20:7']
